rank,source_front,front,paper_pos,camel_pos,camel_roots,camel_glosses,repair_method,confidence,note
558,سجن,سجن,N\CN,noun,س ج ن,the+prison+[def.gen.],exact,high,
559,تحديد,تحديد,N\CN,noun,ح د د,delimitation;specification;definition+[def.gen.],exact,high,
560,وطن,وطن,N\CN,noun,,the+nation;homeland+[def.gen.],exact,high,
561,ظل,ظل,N\CN | V\VP,noun | verb,ظ ل ل,patronage;shelter+[def.gen.] | remain;continue+it;they;she <verb>,exact,high,
562,ولد,ولد,N\CN | V\VP,verb | noun,,be born+he;it <verb> | children+[indef.gen.],exact,high,
563,إعالن,إعلان,N\CN,noun,ع ل ن,the+declaration;statement;announcement+[def.nom.],fuzzy_repair,high,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 1).
564,شارع,شارع,N\CN,noun,ش ر ع,street+[def.gen.],exact,high,
565,جولة,جولة,N\CN,noun,,the+tour;patrol;round+[fem.sg.],exact,high,
566,ينتهي,ينهي,V\VI,verb,,complete;communicate+he;it <verb>,fuzzy_repair,high,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 1).
567,تغيير,تغيير,N\CN,noun,,change;modification;replacement+[indef.gen.],exact,high,
568,أمين,أمني,ADJ,adj,,the+security;safety+[fem.sg.],fuzzy_repair,high,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 1).
569,قدر,قدر,N\CN | V\VP,noun | verb,ق د ر,extent;degree;amount;value;level+[def.acc.] | he;it+be estimated;be valued;be appraised,exact,high,
570,يحمل,يحمل,V\VI,verb,ح م ل,it;they;she+carry;bear;transport,exact,high,
571,يلعب,يلعب,V\VI,verb,ل ع ب,play+he;it <verb>,exact,high,
572,يضع,يضع,V\VI,verb,,put;place+it;they;she <verb>,exact,high,
573,يساعد,يساعد,V\VI,verb,س ع د,he;it+help;assist;support;contribute,exact,high,
574,يموت,يموت,V\VI,verb,,die;pass away+he;it <verb>,exact,high,
575,خط,خط,N\CN,noun,خ ط ط,handwriting;script+[def.gen.],exact,high,
576,هاتف,هاتف,N\CN | V\VP,noun,ه ت ف,telephone+[indef.gen.],exact,high,
577,عالقات,علاقات,N\CN,noun,ع ل ق,the+ties;relations;contacts;links+[fem.pl.],fuzzy_repair,high,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 1).
578,عرف,عرف,V\VP,verb,ع ر ف,it;they;she+know,exact,high,
579,أخ,أخ,N\CN,noun,,brother + my,exact,high,
580,مواجهة,مواجهة,N\CN,noun,,encounter;confrontation+[fem.sg.],exact,high,
581,بنك,بنك,N\CN,noun,ب ن ك,the+bank+[def.gen.],exact,high,
582,حرية,حرية,N\CN,noun,ح ر ر,the+freedom+[fem.sg.],exact,high,
583,خدمة,خدمة,N\CN,noun,خ د م,service;assistance+[fem.sg.],exact,high,
584,حدود,حدود,N\CN,noun,ح د د,stop;halt+[indef.gen.],exact,high,
585,مدى,مدى,N\CN,noun,,period;duration,exact,high,
586,ليل,ليل,N\CN,noun,,the+night;nighttime+[def.gen.],exact,high,
587,يملك,يملك,V\VI,verb,م ل ك,it;they;she+have;hold;control,exact,high,
588,إعالم,عالم,N\CN,noun,ع ل م,the+world+[def.gen.],fuzzy_repair,high,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 1).
589,أية,أية,N\CN,,,,exact,unresolved,Multiple equally plausible same-POS MSA repairs.
590,زيارة,زيارة,N\CN,noun,,visit+[fem.sg.],exact,high,
591,مرأة,مرأة,N\CN,noun,,the+woman+[fem.sg.],exact,high,
592,صحة,صحة,N\CN,noun,ص ح ح,the+health;truth;correctness+[fem.sg.],exact,high,
593,مناسبة,مناسبة,N\CN | ADJ,noun,ن س ب,by;with+occasion;opportunity+[fem.sg.],exact,high,
594,قسم,قسم,N\CN | V\VP,noun | verb,ق س م,portion+[def.gen.] | he;it+divide;partition;distribute,exact,high,
595,قائمة,قائمة,N\CN,noun,,lists;indexes+[def.acc.],exact,high,
596,مشاكل,مشاكل,N\CN,noun,ش ك ل,problems;inconveniences;issues+[def.acc.],exact,high,
597,غريب,غريب,ADJ,adj,غ ر ب,strange+its;his,exact,high,
598,حقوق,حقوق,N\CN,noun,ح ق ق,rights;law+[def.gen.],exact,high,
599,جمعية,جمعية,N\CN,noun,ج م ع,the+association;society+[fem.sg.],exact,high,
600,بيع,بيع,N\CN,noun,,to;for + the+sale+[def.gen.],exact,high,
601,حاليا,حاليا,ADV,adj,,present;current+[acc.indef.],exact,unresolved,No sufficiently close same-POS MSA validation candidate.
602,رجاء,رجاء,N\CN,noun,,by;with+if you please,exact,high,
603,أحضر,أحضر,V\VP,verb,ح ض ر,it;they;she+be brought;be supplied,exact,high,
604,سيء,سيء,ADJ,noun,,bad+[fem.sg.],exact,unresolved,No sufficiently close same-POS MSA validation candidate.
605,سلاح,سلاح,N\CN,noun,س ل ح,the+weapon+[def.gen.],exact,high,
606,يطلب,يطلب,V\VI,verb,ط ل ب,request+he;it <verb>,exact,high,
607,مناطق,مناطق,N\CN,noun,ن ط ق,area;zone;territory+[fem.sg.],exact,high,
608,شخص / ية,شخصية,N\CN,noun,ش خ ص,identity;person;personality+[fem.sg.],concatenated_attested_fragments,high,PDF fragments concatenate to an attested same-POS MSA form.
609,رياضي,رياضي,ADJ,adj,,the+sports;sportive;mathematical+[fem.sg.],exact,high,
610,يتذكر,يتذكر,V\VI,verb,ذ ك ر,he;it+remember,exact,high,
611,أداء,أداء,N\CN,noun,,performance;fulfillment+[def.gen.],exact,high,
612,مؤسسة,مؤسسة,N\CN,noun,,institution;organization+[fem.sg.],exact,high,
613,سعر,سعر,N\CN | V\VP,noun,س ع ر,price;rate+[def.gen.],exact,high,
614,تراجع,تراجع,N\CN | V\VP,noun | verb,ر ج ع,retreat;backing down;retraction+[def.gen.] | retreat;fall behind+it;they;she <verb>,exact,high,
615,أهمةي,أهمية,N\CN,noun,ه م م,importance;significance+[fem.sg.],source_override,high,Official Table 4 text resolves PDF extraction artifact.
616,واضح,واضح,ADJ,adj,,clear;obvious;visible+[fem.sg.],exact,high,
617,أحيان,أحيان,N\CN,,,,exact,unresolved,Multiple equally plausible same-POS MSA repairs.
618,جريمة,جريمة,N\CN,noun,ج ر م,the+crime+[fem.sg.],exact,high,
619,مؤكدا,مؤكدا,ADJ | N\CN,adj,,certain;guaranteed+[acc.indef.],exact,high,
620,أتى,أتى,V\VP,verb,,he;it+arrive;come;reach,exact,high,
621,حالي,حالي,ADJ,adj,,present;current+[acc.indef.],exact,high,
622,يدفع,يدفع,V\VI,verb,د ف ع,he;it+push;motivate;pay,exact,high,
623,تالي,تالي,ADJ,adj,,and + with;by the+following;subsequent,exact,high,
624,إقامة,إقامة,N\CN,noun,,residency;setting up+[fem.sg.],exact,high,
625,إنتاج,إنتاج,N\CN,noun,ن ت ج,production;output+[def.gen.],exact,high,
626,معا,معا,N\CN,adv | verb,,together | mew;meow+we <verb>,exact,unresolved,Multiple equally plausible same-POS MSA repairs.
627,أطلق,أطلق,V\VP,verb,ط ل ق,he;it+be released;be fired,exact,high,
628,أنمت,أنتم,PRO,pron,,you [masc.pl.],source_override,high,Official Table 4 text resolves PDF extraction artifact.
629,حماية,حماية,N\CN,noun,,protection;protecting+[fem.sg.],exact,high,
630,صور,صور,N\CN | V\VP,verb,,he;it+be filmed;be photographed,exact,high,
631,يتكلم,يتكلم,V\VI,verb,ك ل م,he;it+speak;talk;discuss,exact,high,
632,إحدى,إحدى,N\CNU,noun,,one;someone+[def.nom.],exact,high,
633,فوق,وفق,ADV,adv,,according to;in accordance with;pursuant to+[acc.indef.],fuzzy_repair,high,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 1).
634,سوى,سوف,P\EX,part_fut,,will;shall,fuzzy_repair,high,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 1).
635,سجل,سجل,N\CN | V\VP,verb | noun,س ج ل,register;record;inscribe+he;it <verb> | the+register;record;archive+[def.gen.],exact,high,
636,وحده,وحدة,N\CN,noun,,unit+[fem.sg.],fuzzy_repair,high,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 1).
637,نساء,نساء,N\CN,noun,,the+women+[def.gen.],exact,high,
638,قصة,قصة,N\CN,noun,ق ص ص,stories+[indef.gen.],exact,high,
639,خذ,خذ,V\VR,verb,,take;begin+he;it <verb>,exact,high,
640,طبيب,طبيب,N\CN,noun,ط ب ب,physician;doctor+[indef.gen.],exact,high,
641,مباشرة,مباشرة,N\CN | ADJ,noun,ب ش ر,beginning;pursuit+[fem.sg.],exact,high,
642,جمهور / ية,جمهورية,N\CN,noun,ج م ه ر,the+republic+[fem.sg.],concatenated_attested_fragments,high,PDF fragments concatenate to an attested same-POS MSA form.
643,بأس,بأس,N\CN,noun,,bad;objection+[def.acc.],exact,high,
644,أشهر,أشهر,N\CN,noun,ش ه ر,month+[indef.gen.],exact,high,
645,ملك,ملك,N\CN,noun,م ل ك,the+king+[def.nom.],exact,high,
646,قضاء,قضاء,N\CN,noun,,the+justice;judiciary+[def.gen.],exact,high,
647,دراسة,دراسة,N\CN,noun,د ر س,study+[fem.sg.],exact,high,
648,متأكد,متأكد,ADJ,noun,,certain;sure+[indef.nom.],exact,unresolved,No sufficiently close same-POS MSA validation candidate.
649,سياسة,سياسة,N\CN,noun,,politics+[fem.sg.],exact,high,
650,صعب,صعب,V\VP,verb,ص ع ب,he;it+be difficult,exact,high,
651,دخل,دخل,N\CN | V\VP,verb | noun,د خ ل,enter+he;it <verb> | the+income;revenue;business+[def.gen.],exact,high,
652,يقتل,يقتل,V\VI,verb,ق ت ل,be killed+he;it <verb>,exact,high,
653,عالمي,عالمي,ADJ,adj,ع ل م,the+international;world-wide;world+[fem.sg.],exact,high,
654,أمم,أمم,N\CN,,,,exact,unresolved,Multiple equally plausible same-POS MSA repairs.
655,أمل,أمل,N\CN,noun,,hope;wish+[indef.nom.],exact,high,
656,اعتبار,اخبار,N\CN,noun,خ ب ر,news;reports+[def.nom.],fuzzy_repair,medium,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 2).
657,نهائي,نهائي,ADJ,adj,,the+final;definitive;conclusive+[def.gen.],exact,high,
658,مئة,مئة,N\CNU,noun,,the+(per) cent+[fem.sg.],exact,high,
659,تنظيم,تنظيم,N\CN,noun,ن ظ م,organizing;controlling;planning;regulating+[def.gen.],exact,high,
660,ن,نجاح,N\CN,noun,ن ج ح,the+success+[def.gen.],source_override,high,Official Table 4 text resolves PDF extraction artifact.
661,دورة,دورة,N\CN,noun,,cycle;turn;rotation;revolution+[fem.sg.],exact,high,
662,لعبة,لعبة,N\CN,noun,ل ع ب,toy;game+[fem.sg.],exact,high,
663,رد,رد,N\CN | V\VP,noun | verb,ر د د,return;repulsion+[indef.gen.] | and+answer;reply;return+he;it <verb>,exact,high,
664,تنمية,تنمية,N\CN,noun,,the+development;growth+[fem.sg.],exact,high,
665,اهتمام,اتمام,N\CN,noun,ت م م,completion;realization+[def.gen.],fuzzy_repair,high,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 1).
666,إطار,إطار,N\CN,noun,,framework;context+[def.gen.],exact,high,
667,أمنية,أغنية,N\CN,noun,,songs;melodies,fuzzy_repair,high,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 1).
668,مسؤول,مسؤول,N\CN,noun,,official;functionary+[indef.nom.],exact,high,
669,قائد,قائد,N\CN,noun,,driver;chauffeur+[def.nom.],exact,high,
670,مصادر,مصادر,N\CN,noun,ص د ر,sources+[def.nom.] | the+confiscated;requisitioned+[fem.sg.],exact,high,
671,وقع,وقع,V\VP,verb,,fall down;take place;be located+he;it <verb>,exact,high,
672,مباريا / ت,مباريات,N\CN,noun,,match;game;competition+[fem.sg.],concatenated_attested_fragments,high,PDF fragments concatenate to an attested same-POS MSA form.
673,الحق,الحق,ADJ | V\VP,noun,ح ق ق,rights;law+[def.gen.],exact,unresolved,Multiple equally plausible same-POS MSA repairs.
674,اتصل,تصل,V\VP | V\VR,verb,,it;they;she+arrive at;reach;connect,fuzzy_repair,high,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 1).
675,محاولة,محاولة,N\CN,noun,,attempt;effort+[fem.sg.],exact,high,
676,كون,كون,N\CN | V\VP,noun | verb,,being+[def.acc.] | create+it;they;she <verb>,exact,high,
677,أراد,أراد,V\VP,verb,,he;it+want;desire;intend,exact,high,
678,إصابة,إصابة,N\CN,noun,,casualty;injury+[fem.sg.],exact,high,
679,عشرة,عشرة,N\CNU | N\CN,noun,ع ش ر,ten+[def.acc.],exact,high,
680,مهما,مما,P\PO,prep,,from,fuzzy_repair,high,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 1).
681,يمثل,يمثل,V\VI,verb,م ث ل,it;they;she+represent;constitute;act,exact,high,
682,اختيار,التيار,N\CN,noun,,the+current;stream+[def.gen.],fuzzy_repair,high,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 1).
683,شهد,شهد,V\VP,verb,ش ه د,witness;observe+it;they;she <verb>,exact,high,
684,إجراء,إجراء,N\CN,noun,,conducting;undertaking;carrying out+[def.gen.],exact,high,
685,صحيفة,صحيفة,N\CN,noun,ص ح ف,newspaper+[fem.sg.],exact,high,
686,استمرا,استمرا,N\CN,,,,exact,unresolved,Multiple equally plausible same-POS MSA repairs.
687,شمال,شمال,N\CN,noun,ش م ل,north;northern+[def.gen.],exact,high,
688,فكر,فكر,N\CN | V\VP,noun | verb,ف ك ر,the+thought;thinking+[def.gen.] | he;it+think;consider;ponder,exact,high,
689,شراء,شراء,N\CN,noun,,purchase;purchasing+[def.gen.],exact,high,
690,نيابة,نيابة,N\CN,noun,,the+proxy;deputyship+[fem.sg.],exact,high,
691,موعد,موعد,N\CN,noun,,appointment;date;rendezvous+[def.gen.],exact,high,
692,ماء,ماء,N\CN,noun,,the+water;waters+[def.gen.],exact,high,
693,يتعلق,يتعلق,V\VI,verb,ع ل ق,he;it+be connected with;pertain to,exact,high,
694,اجتماع / ي,اجتماع/ي,ADJ,,,,exact,unresolved,No sufficiently close same-POS MSA validation candidate. Final front is not a single Arabic-script word.
695,امرأة,امرأة,N\CN,,,,exact,unresolved,Multiple equally plausible same-POS MSA repairs.
696,أسمه / أسهم,أسمه,N\CN | V\VP,verb,,I+stamp;brand+it;him,fuzzy_repair,medium,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 0).
697,أجةزه,أجةزه,N\CN,,,,exact,unresolved,No sufficiently close same-POS MSA validation candidate.
698,بدء,بدء,N\CN,noun,,start;beginning,exact,high,
699,جلسة,جلسة,N\CN,noun,ج ل س,session;meeting+[fem.sg.],exact,high,
700,اليزال,يزال,V\VI,verb,,he;it+cease;stop being;stop doing,fuzzy_repair,medium,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 2).
701,رسمي,رسمي,ADJ,adj,ر س م,the+official+[def.gen.],exact,high,
702,تأثير,تأثير,N\CN,noun,,effect;influence;impact+[def.gen.],exact,high,
703,لقب,لقب,N\CN | V\VP,noun | verb,ل ق ب,title;nickname+[def.acc.] | he;it+call;address as,exact,high,
704,فرق,فرق,N\CN,noun,ف ر ق,the+squads;divisions+[def.gen.] | the+differences;discrepancies+[fem.pl.],exact,high,
705,هجوم,هجوم,N\CN,noun,ه ج م,the+attack;charge;assault+[def.gen.],exact,high,
706,ابنة,ابنة,N\CN,,,,exact,unresolved,No sufficiently close same-POS MSA validation candidate.
707,يستمر,يستر,V\VI,verb,س ت ر,for + him;it to+cover;hide,fuzzy_repair,high,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 1).
708,لطيف,لطيف,ADJ,adj,ل ط ف,delicate;gentle;polite+its;his,exact,high,
709,يهتم,يتم,V\VI,verb,ت م م,conclude;take place+he;it <verb>,fuzzy_repair,high,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 1).
710,إذ,إذ,ADV,conj,,because,exact,unresolved,No sufficiently close same-POS MSA validation candidate.
711,أبناء,أبناء,N\CN,noun,,sons;children+[def.gen.],exact,high,
712,غرب,غرب,N\CN,noun,غ ر ب,west;West+[def.gen.],exact,high,
713,تأمين,تأمين,N\CN,noun,,the+insurance;guarantee+[def.gen.],exact,high,
714,يعرض,يعرض,V\VI,verb,ع ر ض,exhibit;present;review;inspect+he;it <verb>,exact,high,
715,عرب,عرب,N\CN,noun,ع ر ب,the+Arabs+[def.gen.],exact,high,
716,صالح,صالح,ADJ,adj,ص ل ح,the+pious;upright+[def.nom.],exact,high,
717,مالبس,مالبس,N\CN,,,,exact,unresolved,Multiple equally plausible same-POS MSA repairs.
718,تحرك,تحرك,N\CN | V\VP,noun | verb,ح ر ك,the+movement;motion;activity+[def.gen.] | it;they;she+move;get moving;be set in motion,exact,high,
719,بدل,بدل,N\CN | V\VP,noun | verb,ب د ل,substitute+[acc.indef.] | it;they;she+change;modify,exact,high,
720,طائرة,طائرة,N\CN,noun,,the+aircraft;airplane+[fem.sg.],exact,high,
721,جماعة,جماعة,N\CN,noun,ج م ع,party;group;squad+[fem.sg.],exact,high,
722,مصدر,مصدر,N\CN,noun,ص د ر,sources+[def.nom.],exact,high,
723,معظم,معظم,N\CN,noun,ع ظ م,most of;the majority of+[def.acc.],exact,high,
724,أهال,أهل,N\CN,noun,,qualified+[def.gen.],fuzzy_repair,high,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 1).
725,قطع,قطع,N\CN | V\VP,noun | verb,ق ط ع,breaking off;interruption+[def.gen.] | and+cut off;sever;interrupt;stop+he;it <verb>,exact,high,
726,موافقة,موافقة,N\CN | ADJ,noun,,agreement+[fem.sg.],exact,high,
727,أخبار,أخبار,N\CN,noun,خ ب ر,news;reports+[def.nom.],exact,high,
728,محافظة,محافظة,N\CN | ADJ,noun,ح ف ظ,province;governorate+[fem.sg.],exact,high,
729,خطر,خطر,N\CN,noun,خ ط ر,danger+[def.gen.],exact,high,
730,صندوق,صندوق,N\CN,noun,ص ن د ق,treasury;fund+[def.gen.],exact,high,
731,جزيرة,جزيرة,N\CN,noun,ج ز ر,the+island;peninsula+[fem.sg.],exact,high,
732,يصدق,يصدق,V\VI,verb,ص د ق,believe;give credence to;confirm+he;it <verb>,exact,high,
733,قوى,قوى,N\CN,noun,,the+armed forces+[fem.pl.],exact,high,
734,دم,دم,N\CN,noun,,the+blood+[def.gen.],exact,high,
735,جائزة,جائزة,N\CN,noun,,prize;reward+[fem.sg.],exact,high,
736,حكومي,حكومي,ADJ,adj,ح ك م,the+governmental;state;official+[fem.sg.],exact,high,
737,يظهر,يظهر,V\VI,verb,ظ ه ر,it;they;she+show;manifest;demonstrate,exact,high,
738,وراء,وراء,ADV,noun,,behind;past;beyond+[def.acc.],exact,unresolved,No sufficiently close same-POS MSA validation candidate.
739,حادث,حادث,N\CN | V\VP,noun,ح د ث,incident;event+[indef.gen.],exact,high,
740,نقاط,نقاط,N\CN,noun,ن ق ط,point;location;position+[fem.sg.],exact,high,
741,انتظار,انتظار,N\CN,,,,exact,unresolved,Multiple equally plausible same-POS MSA repairs.
742,قاعدة,قاعدة,N\CN,noun,ق ع د,rule;principle;basis+[fem.sg.],exact,high,
743,حظ,حظ,N\CN,noun,ح ظ ظ,the+luck;fortune+[def.gen.],exact,high,
744,مهم,مهم,ADJ,adj,ه م م,important;serious+[fem.sg.],exact,high,
745,تعامل / عتامل,تعامل,N\CN | V\VP,noun | verb,ع م ل,the+relations;dealings+[def.gen.] | it;they;she+deal with;do business with,attested_variant_repair,high,One slash variant is an attested same-POS form; the other is a near-identical RTL extraction artifact.
746,ثقافة,ثقافة,N\CN,noun,ث ق ف,the+culture;civilization+[fem.sg.],exact,high,
747,إجراءا / ت,إجراءات,N\CN,noun,,conducting;undertaking;carrying out+[def.gen.],concatenated_attested_fragments,high,PDF fragments concatenate to an attested same-POS MSA form.
748,قضايا,قضايا,N\CN,noun,,problem;issue+[fem.sg.],exact,high,
749,طعام,طعام,N\CN,noun,ط ع م,the+food+[def.gen.],exact,high,
750,سواء,سواء,N\CN,noun,,except;whether+[def.nom.],exact,high,
751,يسمح,يسمح,V\VI,verb,س م ح,he;it+allow;permit;authorize,exact,high,
752,أهداف,أهداف,N\CN,noun,ه د ف,by;with+goal;objective;intention+[def.gen.],exact,high,
753,يسأل,يسأل,V\VI,verb,,he;it+ask;inquire;request,exact,high,
754,ملعب,ملعب,N\CN,noun,ل ع ب,playground;sports field;stadium+[def.gen.],exact,high,
755,دقائق,دقائق,N\CN,noun,د ق ق,minutes+[def.gen.],exact,high,
756,فعلا,فعلا,N\CN,noun,ف ع ل,verb+[indef.gen.],exact,high,
757,عسكر / ية,عسكرية,ADJ,adj,ع س ك ر,the+military;army+[fem.sg.],concatenated_attested_fragments,high,PDF fragments concatenate to an attested same-POS MSA form.
758,معرض,معرض,N\CN,noun,ع ر ض,exhibit;exhibition;review+[def.gen.],exact,high,
759,بقاء,بقاء,N\CN,noun,,the+survival;remaining+[def.acc.],exact,high,
760,اتصاال,ايصال,N\CN,noun,,connection;transportation;transmission+[def.gen.],fuzzy_repair,medium,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 2).
761,حفل,حفل,N\CN,noun,ح ف ل,ceremony;celebration+[def.gen.],exact,high,
762,شؤون,شؤون,N\CN,noun,,by;with+matter;affair+[def.gen.],exact,high,
763,حجم,حجم,N\CN,noun,ح ج م,volume;size+[def.gen.],exact,high,
764,يرغب,يرغب,V\VI,verb,ر غ ب,wish;desire+it;they;she <verb>,exact,high,
765,زمن,زمن,N\CN,noun,ز م ن,time;period;duration+[indef.gen.],exact,high,
766,سالمة,سلامة,N\CN,noun,س ل م,security;safety;integrity+[fem.sg.],fuzzy_repair,high,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 1).
767,حي,حي,N\CN,noun,,quarter;district+[def.gen.],exact,high,
768,حوالي,حوالي,ADV,noun,,obstacle;partition+my,exact,unresolved,No sufficiently close same-POS MSA validation candidate.
769,طرق,طرق,N\CN | V\VP,noun | verb,ط ر ق,road;way+[def.gen.] | he;it+knock,exact,high,
770,أسعر / أسرع,أسرع,N\CN | V\VP,noun,س ر ع,faster;fastest+[def.gen.],attested_variant_repair,high,One slash variant is an attested same-POS form; the other is a near-identical RTL extraction artifact.
771,توفير,توفير,N\CN,noun,,provision;furnishing+[def.gen.],exact,high,
772,أصحا / ب,أصحاب,N\CN,noun,ص ح ب,friend;companion+[def.gen.],concatenated_attested_fragments,high,PDF fragments concatenate to an attested same-POS MSA form.
773,استثمار,مستثمر,N\CN,noun,ث م ر,the+investor+[masc.pl.],fuzzy_repair,medium,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 2).
774,مسؤول / ية,مسؤولية,N\CN,noun,,responsibility+[fem.sg.],concatenated_attested_fragments,high,PDF fragments concatenate to an attested same-POS MSA form.
775,كافة,كافة,N\CN,noun,,all+[fem.sg.],exact,high,
776,أدى,أدى,V\VP,verb,,he;it+direct;guide;lead,exact,high,
777,مسلمو / ن,مسلم,N\CN,noun,س ل م,Muslim+[indef.gen.],fuzzy_repair,high,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 1).
778,سباق,سباق,N\CN,noun,س ب ق,race;competition+[def.gen.],exact,high,
779,زواج,زواج,N\CN,noun,,the+marriage;wedding+[def.gen.],exact,high,
780,يؤكد,يؤكد,V\VI,verb,,affirm;assure;confirm;guarantee+he;it <verb>,exact,high,
781,ثقة,ثقة,N\CN,noun,,the+trust;confidence+[fem.sg.],exact,high,
782,تجربة,تجربة,N\CN,noun,ج ر ب,experience;experiment+[fem.sg.],exact,high,
783,روح,روح,N\CN,noun,,spirit;soul+[def.gen.],exact,high,
784,اعتبر,اعتبر,V\VP,,,,exact,unresolved,No sufficiently close same-POS MSA validation candidate.
785,فط,نفط,N\CN,noun,ن ف ط,the+petroleum;oil+[def.gen.],source_override,high,Official Table 4 text resolves PDF extraction artifact.
786,تقريبا,تقريبا,N\CN,noun,ق ر ب,approximation+[acc.indef.],exact,high,
787,إنشاء,إنشاء,N\CN,noun,,essay;composition+[def.gen.],exact,high,
788,يقلق,يقلق,V\VI,verb,ق ل ق,he;it+make restless;agitate,exact,high,
789,يتلص,يتصل,V\VI,,,,source_override,unresolved,Multiple equally plausible same-POS MSA repairs.
790,رحلة,رحلة,N\CN,noun,ر ح ل,journey;career+[fem.sg.],exact,high,
791,آنسة,آنسة,N\CN,noun,,the+lady;Miss+[fem.sg.],exact,high,
792,استمر,استمر,V\VP | V\VR,,,,exact,unresolved,No sufficiently close same-POS MSA validation candidate.
793,أسلف,أسفل,N\CN,noun,س ف ل,lower;lowest;underneath,source_override,high,Official Table 4 text resolves PDF extraction artifact.
794,يتعلم,يتعلم,V\VI,verb,ع ل م,he;it+study;learn,exact,high,
795,جو,جو,N\CN,noun,,the+climate;atmosphere+[def.gen.],exact,high,
796,أسلحة,أسلحة,N\CN,noun,س ل ح,the+weapon+[def.gen.],exact,high,
797,صدر,صدر,V\VP,verb,ص د ر,be published;be issued+he;it <verb>,exact,high,
798,وم,نوم,N\CN,noun,,the+sleep,source_override,high,Official Table 4 text resolves PDF extraction artifact.
799,صناعة,صناعة,N\CN,noun,ص ن ع,manufacture;industry;trade;craft+[fem.sg.],exact,high,
800,تحرير,تحرير,N\CN,noun,ح ر ر,the+liberation;liberating+[def.gen.],exact,high,
801,طلاب,طلاب,N\CN,noun,ط ل ب,the+students+[def.gen.],exact,high,
802,قريبا,قريبا,ADV,adj,ق ر ب,recent;soon+[acc.indef.],exact,unresolved,No sufficiently close same-POS MSA validation candidate.
803,فتى,فتى,N\CN,noun,,the+young man;juvenile,exact,high,
804,قوي,قوي,ADJ,adj,,strong;powerful+[fem.sg.],exact,high,
805,رعاية,رعاية,N\CN,noun,,custody;protection;sponsorship+[fem.sg.],exact,high,
806,تدريب,تدريب,N\CN,noun,د ر ب,the+training;coaching;practice+[def.gen.],exact,high,
807,وفد,وفد,N\CN | V\VP,noun,,delegation+[indef.nom.],exact,high,
808,اتجاه,اتجاه,N\CN,,,,exact,unresolved,No sufficiently close same-POS MSA validation candidate.
809,تناول,تناول,N\CN | V\VP,verb | noun,,deal with;eat+he;it <verb> | dealing with;eating+its;their;her,exact,high,
810,وقف,وقف,N\CN | V\VP,noun | verb,,waqf (religious endowment)+[def.gen.] | he;it+stop;cease;stand,exact,high,
811,أرسل,أرسل,V\VP,verb,ر س ل,send;transmit+he;it <verb>,exact,high,
812,يضم,يضم,V\VI,verb,ض م م,it;they;she+include;comprise;incorporate,exact,high,
813,مرور,مرور,N\CN,noun,م ر ر,traffic;passing;crossing+[def.gen.],exact,high,
814,شاب,شاب,N\CN | V\VP,noun | verb,ش ب ب,the+young man+[def.nom.] | corrupt;adulterate+it;they;she <verb>,exact,high,
815,خرج,خرج,V\VP,verb,خ ر ج,it;they;she+go out;exit;leave,exact,high,
816,يتوقع,يتوقع,V\VI,verb,,he;it+be expected;be counted on;be anticipated,exact,high,
817,يقدم,يقدم,V\VI,verb,ق د م,offer;present;introduce+he;it <verb>,exact,high,
818,نمو,نمو,N\CN,noun,,the+development;growth;progress+[def.gen.],exact,high,
819,ثورة,ثورة,N\CN,noun,,the+revolution;uprising+[fem.sg.],exact,high,
820,أموال,أموال,N\CN,noun,,the+money;capital;funds+[def.gen.],exact,high,
821,يكفي,يكفي,V\VI,verb,,he;it+be enough;suffice,exact,high,
822,عاصمة,عاصمة,N\CN,noun,ع ص م,the+capital city+[fem.sg.],exact,high,
823,يهم,يهم,V\VI,verb,ه م م,he;it+concern;be important,exact,high,
