front,meaning,pos,frequency,lexique_cgram,kaikki_pos,kaikki_meaning,source,rank
barrer,"to bar off; to go away, to leave, to fuck off; to bar, bar up (to lock or bolt with a bar)",verb,21.289000,VER,verb,"to bar off; to go away, to leave, to fuck off; to bar, bar up (to lock or bolt with a bar)",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2173
raisonnable,"resigned; possessed of reason; reasonable, just, fair, consistent, sensible",adjective,21.288000,ADJ,adj,"resigned; possessed of reason; reasonable, just, fair, consistent, sensible",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2174
cassé,broken; broke (lacking money),adjective,21.276000,ADJ,adj|verb,broken; broke (lacking money),Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2175
culture,"knowledge, erudition; culture (microbiology); culture (arts, customs and habits)",noun,21.263000,NOM,noun,"knowledge, erudition; culture (microbiology); culture (arts, customs and habits)",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2176
noble,"noble, aristocratic; noble (person who is noble); nonsynthetic, natural; fine",adjective / noun,21.262000,ADJ|NOM,adj|noun,"noble, aristocratic; noble (person who is noble); nonsynthetic, natural; fine",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2177
concevoir,to design; to conceive:; to conceive (a baby),verb,21.219000,VER,verb,to design; to conceive:; to conceive (a baby),Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2178
digne,worthy; having dignity; dignified,adjective,21.218000,ADJ,adj,worthy; having dignity; dignified,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2179
mineur,miner; minor,adjective / noun,21.203000,ADJ|NOM,adj|noun,miner; minor,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2180
cloche,"clumsy, stupid; a clumsy person, an oaf; bell (metal apparatus used to produce sound)",adjective / noun,21.168000,ADJ|NOM,adj|noun|verb,"clumsy, stupid; a clumsy person, an oaf; bell (metal apparatus used to produce sound)",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2181
matière,matter; subject (at school); material (substance of which something is made),noun,21.156000,NOM,noun,matter; subject (at school); material (substance of which something is made),Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2182
courrier,"mail; messenger, courier",noun,21.155000,NOM,noun,"mail; messenger, courier",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2183
pêche,"peach; form, energy; fishing, angling",noun,21.145000,NOM,noun,"peach; form, energy; fishing, angling",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2184
prononcer,"to pronounce; to say, mention; to give, deliver (a speech)",verb,21.139000,VER,verb,"to pronounce; to say, mention; to give, deliver (a speech)",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2185
large,large; width; generous,adjective / noun,21.136000,ADJ|NOM,adj|noun,large; width; generous,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2186
annonce,advertisement,noun,21.133000,NOM,noun|verb,advertisement,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2187
sacrifice,sacrifice,noun,21.133000,NOM,noun,sacrifice,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2188
relier,"to bind (as a book); to hoop together (as a barrel); to connect, link, join, relate to",verb,21.120000,VER,verb,"to bind (as a book); to hoop together (as a barrel); to connect, link, join, relate to",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2189
bagarre,"brawl, fight",noun,21.101000,NOM,noun,"brawl, fight",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2190
assis,"sat, sat down, seated",adjective,21.086000,ADJ,adj|verb,"sat, sat down, seated",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2191
raser,"to shave; to bore someone; to brush, lightly touch",verb,21.086000,VER,verb,"to shave; to bore someone; to brush, lightly touch",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2192
objection,objection (all meanings),noun,21.038000,NOM,noun,objection (all meanings),Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2193
soif,thirst,noun,21.038000,NOM,noun,thirst,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2194
généreux,"generous, kind",adjective,21.007000,ADJ,adj,"generous, kind",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2195
briller,"to shine, to sparkle",verb,20.995000,VER,verb,"to shine, to sparkle",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2196
chirurgie,"surgery, medical operation; surgery (the branch of medicine)",noun,20.987000,NOM,noun,"surgery, medical operation; surgery (the branch of medicine)",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2197
excitant,arousing; excitant; stimulant; exciting (causing stimulation or excitement),adjective / noun,20.964000,ADJ|NOM,adj|noun|verb,arousing; excitant; stimulant; exciting (causing stimulation or excitement),Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2198
lentement,slowly,adverb,20.899000,ADV,adv,slowly,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2199
fidèle,loyal; faithful; a believer,adjective / noun,20.896000,ADJ|NOM,adj|noun,loyal; faithful; a believer,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2200
existence,life; existence,noun,20.876000,NOM,noun,life; existence,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2201
vilain,ugly; naughty; peasant,adjective / noun,20.862000,ADJ|NOM,adj|noun,ugly; naughty; peasant,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2202
souffle,"a breath, or the act of breathing; a breeze, a gust (movement of wind); blowing (act of expelling air from the mouth)",noun,20.829000,NOM,noun|verb,"a breath, or the act of breathing; a breeze, a gust (movement of wind); blowing (act of expelling air from the mouth)",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2203
populaire,folk; colloquial; working-class,adjective,20.823000,ADJ,adj|noun,folk; colloquial; working-class,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2204
angle,"a geometric angle; a viewpoint or angle; a location at the corner of something, such as streets, buildings, furniture etc",noun,20.814000,NOM,noun,"a geometric angle; a viewpoint or angle; a location at the corner of something, such as streets, buildings, furniture etc",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2205
nuage,cloud,noun,20.810000,NOM,noun|verb,cloud,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2206
rond,drunk; circle; round (shape),adjective / noun,20.795000,ADJ|NOM,adj|noun,drunk; circle; round (shape),Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2207
coïncidence,coincidence,noun,20.794000,NOM,noun,coincidence,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2208
cogner,"to bump oneself; to pound (of the heart); to whack, to bash, to thump (hit hard)",verb,20.791000,VER,verb,"to bump oneself; to pound (of the heart); to whack, to bash, to thump (hit hard)",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2209
nerf,"nerve; force, power, strength",noun,20.782000,NOM,noun,"nerve; force, power, strength",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2210
disparition,disappearance,noun,20.763000,NOM,noun,disappearance,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2211
monnaie,coinage; currency; change (money back after a transaction),noun,20.750000,NOM,noun|verb,coinage; currency; change (money back after a transaction),Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2212
commercial,"commercial; a salesman, sales representative",adjective / noun,20.743000,ADJ|NOM,adj|noun,"commercial; a salesman, sales representative",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2213
adopter,to vote; to adopt (claim ownership of a child); to adopt (claim legal ownership of a child),verb,20.736000,VER,verb,to vote; to adopt (claim ownership of a child); to adopt (claim legal ownership of a child),Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2214
territoire,country; territory,noun,20.734000,NOM,noun,country; territory,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2215
dispute,dispute,noun,20.712000,NOM,noun,dispute,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2216
poison,herbicide; insecticide; poison (literal or figurative),noun,20.696000,NOM,adj|noun,herbicide; insecticide; poison (literal or figurative),Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2217
continue,feminine singular of continu,adjective,20.693000,ADJ,adj|verb,feminine singular of continu,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2218
sucer,to suck,verb,20.686000,VER,verb,to suck,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2219
volontaire,wilful; volunteer; determined,adjective / noun,20.680000,ADJ|NOM,adj|noun,wilful; volunteer; determined,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2220
sénateur,senator,noun,20.667000,NOM,noun,senator,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2221
diplôme,diploma (document issued by an educational institution testifying that the recipient has earned a degree or has successfully completed a particular course of study),noun,20.665000,NOM,noun,diploma (document issued by an educational institution testifying that the recipient has earned a degree or has successfully completed a particular course of study),Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2222
potentiel,potential,adjective / noun,20.639000,ADJ|NOM,adj|noun,potential,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2223
auteur,"author; composer, artist; inventor (of discovery); perpetrator (of crime); leader (of rebellion etc.)",noun,20.588000,NOM,noun,"author; composer, artist; inventor (of discovery); perpetrator (of crime); leader (of rebellion etc.)",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2224
sable,sand; the heraldic colour sable; black,noun,20.582000,NOM,noun|verb,sand; the heraldic colour sable; black,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2225
témoignage,testimony,noun,20.544000,NOM,noun,testimony,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2226
musée,"museum (a building or institution dedicated to the acquisition, conservation, study, exhibition, and educational interpretation of objects having scientific, historical, cultural or artistic value)",noun,20.504000,NOM,name|noun,"museum (a building or institution dedicated to the acquisition, conservation, study, exhibition, and educational interpretation of objects having scientific, historical, cultural or artistic value)",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2227
davantage,more,adverb,20.497000,ADV,adv,more,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2228
ho,"Used to express surprise or shock; Used by tamers to calm the animal they are taming, especially horses; whoa",interjection,20.484000,ONO,intj|name,"Used to express surprise or shock; Used by tamers to calm the animal they are taming, especially horses; whoa",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2229
traquer,"to track, follow; to track down, hunt down; to hound",verb,20.466000,VER,verb,"to track, follow; to track down, hunt down; to hound",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2230
parfum,"scent, desirable smell; perfume (scented toiletry); flavour, aroma, taste (e.g., of ice cream)",noun,20.462000,NOM,noun,"scent, desirable smell; perfume (scented toiletry); flavour, aroma, taste (e.g., of ice cream)",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2231
kidnapper,to steal; to kidnap,verb,20.428000,VER,verb,to steal; to kidnap,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2232
scénario,script; screenplay; scenario (all meanings),noun,20.405000,NOM,noun,script; screenplay; scenario (all meanings),Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2233
instinct,instinct; gut feeling,noun,20.402000,NOM,noun,instinct; gut feeling,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2234
soulever,"to revolt, to rise up (against); to raise, to lift up, to pick up; to stir up (emotions), to rouse (interest)",verb,20.401000,VER,verb,"to revolt, to rise up (against); to raise, to lift up, to pick up; to stir up (emotions), to rouse (interest)",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2235
souffler,to blow; to relax; to whisper,verb,20.398000,VER,verb,to blow; to relax; to whisper,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2236
élection,election,noun,20.389000,NOM,noun,election,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2237
phrase,sentence,noun,20.383000,NOM,noun,sentence,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2238
sauce,sauce,noun,20.332000,NOM,noun,sauce,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2239
encourager,to promote; to encourage; to motivate oneself,verb,20.296000,VER,verb,to promote; to encourage; to motivate oneself,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2240
poussière,dust; very little; next to nothing,noun,20.291000,NOM,noun,dust; very little; next to nothing,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2241
sécuriser,"to put at ease; to secure (to move from a feeling of anxiety to a feeling of security, to an impression of confidence)",verb,20.276000,VER,verb,"to put at ease; to secure (to move from a feeling of anxiety to a feeling of security, to an impression of confidence)",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2242
insulter,to insult,verb,20.242000,VER,verb,to insult,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2243
localiser,"to localise; to locate; to run to ground, to run to earth",verb,20.205000,VER,verb,"to localise; to locate; to run to ground, to run to earth",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2244
empire,"empire; influence, authority, dominion",noun,20.200000,NOM,noun|verb,"empire; influence, authority, dominion",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2245
secouer,to shake; to make an effort,verb,20.155000,VER,verb,to shake; to make an effort,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2246
autorisation,authorization (act of authorizing); authorization (attestation of authorization),noun,20.148000,NOM,noun,authorization (act of authorizing); authorization (attestation of authorization),Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2247
roue,a wheel; the breaking wheel,noun,20.146000,NOM,noun,a wheel; the breaking wheel,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2248
fumée,smoke; steam; spoor (of game animals),noun,20.140000,NOM,adj|noun|verb,smoke; steam; spoor (of game animals),Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2249
miel,honey (sticky sweet substance),noun,20.133000,NOM,noun,honey (sticky sweet substance),Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2250
auparavant,"beforehand, previously",adverb,20.108000,ADV,adv,"beforehand, previously",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2251
royal,royal,adjective,20.107000,ADJ,adj|name,royal,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2252
disponible,"available (pour for, à to)",adjective,20.089000,ADJ,adj,"available (pour for, à to)",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2253
attitude,"attitude, position",noun,20.082000,NOM,noun,"attitude, position",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2254
télévision,television,noun,20.057000,NOM,noun,television,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2255
incapable,"unable, incapable",adjective,20.026000,ADJ,adj|noun,"unable, incapable",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2256
agression,aggression,noun,20.022000,NOM,noun,aggression,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2257
salade,"sallet; bullshit, nonsense; salad (raw vegetables in general)",noun,20.010000,NOM,noun,"sallet; bullshit, nonsense; salad (raw vegetables in general)",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2258
tatouage,tattoo,noun,19.984000,NOM,noun,tattoo,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2259
parvenir,to reach; to succeed,verb,19.970000,VER,verb,to reach; to succeed,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2260
kilo,kilo; a large quantity,noun,19.968000,NOM,noun,kilo; a large quantity,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2261
bâtard,bastard; hybrid plant; batard (short baguette),adjective / noun,19.941000,ADJ|NOM,adj|noun,bastard; hybrid plant; batard (short baguette),Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2262
approuver,to approve of,verb,19.937000,VER,verb,to approve of,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2263
délicat,"delicate; difficult, tricky; sensitive, thorny",adjective,19.874000,ADJ,adj,"delicate; difficult, tricky; sensitive, thorny",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2264
outil,tool (something designed to aid in a task),noun,19.854000,NOM,noun,tool (something designed to aid in a task),Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2265
grimper,"(climbing) to climb, climb up",verb,19.849000,VER,verb,"(climbing) to climb, climb up",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2266
nucléaire,nuclear,adjective,19.848000,ADJ,adj,nuclear,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2267
sommet,"summit, peak; vertex, node; summit (a conference of leaders)",noun,19.848000,NOM,noun,"summit, peak; vertex, node; summit (a conference of leaders)",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2268
évacuer,to evacuate,verb,19.841000,VER,verb,to evacuate,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2269
psy,clipping of psychologue (“psychologist”); clipping of psychiatre (“psychiatrist”); shrink,noun,19.807000,NOM,adj|noun,clipping of psychologue (“psychologist”); clipping of psychiatre (“psychiatrist”); shrink,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2270
empereur,emperor,noun,19.794000,NOM,noun,emperor,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2271
suffisamment,sufficiently; enough,adverb,19.785000,ADV,adv,sufficiently; enough,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2272
producteur,producer; productive,adjective / noun,19.779000,ADJ|NOM,adj|noun,producer; productive,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2273
tradition,tradition; a type of baguette or French stick,noun,19.778000,NOM,noun,tradition; a type of baguette or French stick,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2274
célébrer,"to worship; to celebrate; to perform, to officiate at",verb,19.770000,VER,verb,"to worship; to celebrate; to perform, to officiate at",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2275
moche,ugly,adjective,19.766000,ADJ,adj,ugly,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2276
carrément,"really, completely; right, slap-bang, smack-dab; straight out, bluntly (of asking, speaking etc.)",adverb,19.744000,ADV,adv,"really, completely; right, slap-bang, smack-dab; straight out, bluntly (of asking, speaking etc.)",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2277
football,"American football; Canadian football; association football, soccer",noun,19.728000,NOM,noun,"American football; Canadian football; association football, soccer",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2278
thérapie,therapy,noun,19.719000,NOM,noun,therapy,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2279
profondément,"deeply, profoundly",adverb,19.690000,ADV,adv,"deeply, profoundly",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2280
piano,piano,noun,19.689000,NOM,noun,piano,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2281
estimer,"to esteem, to hold in high regard; to estimate, to calculate roughly; to give some thought to, to consider",verb,19.686000,VER,verb,"to esteem, to hold in high regard; to estimate, to calculate roughly; to give some thought to, to consider",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2282
foot,"association football; football, soccer; footy (a nickname for several different football codes)",noun,19.683000,NOM,noun,"association football; football, soccer; footy (a nickname for several different football codes)",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2283
reparler,"to talk again, to speak again",verb,19.666000,VER,verb,"to talk again, to speak again",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2284
chirurgien,surgeon (doctor who performs surgery),noun,19.651000,NOM,noun,surgeon (doctor who performs surgery),Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2285
envoler,"to blow away; to fly (of time); to take off, to take flight",verb,19.651000,VER,verb,"to blow away; to fly (of time); to take off, to take flight",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2286
boucler,to shut; to curl (make curly); to buckle (to fasten),verb,19.650000,VER,verb,to shut; to curl (make curly); to buckle (to fasten),Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2287
redevenir,to become again,verb,19.639000,VER,verb,to become again,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2288
communiquer,to communicate,verb,19.624000,VER,verb,to communicate,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2289
race,kind; breed; race (classification),noun,19.569000,NOM,noun,kind; breed; race (classification),Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2290
fermé,closed; switched off,adjective,19.558000,ADJ,adj|verb,closed; switched off,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2291
central,central,adjective,19.551000,ADJ|ADJ:num,adj,central,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2292
elle-même,"herself, itself",pronoun,19.551000,PRO:per,pron,"herself, itself",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2293
vendeur,"salesman; seller, vendor",noun,19.551000,NOM,adj|noun,"salesman; seller, vendor",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2294
financier,banker; financial; financier (cake),adjective / noun,19.502000,ADJ|NOM,adj|noun,banker; financial; financier (cake),Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2295
indien,Indian (Amerind); Indian (related to Amerinds); Indian (resident or native of India),adjective / noun,19.482000,ADJ|NOM,adj|name|noun,Indian (Amerind); Indian (related to Amerinds); Indian (resident or native of India),Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2296
alibi,alibi,noun,19.481000,NOM,noun,alibi,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2297
expression,expression,noun,19.481000,NOM,noun,expression,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2298
enfoncer,"to sink down; to defeat, to thrash; to break open, to break down",verb,19.478000,VER,verb,"to sink down; to defeat, to thrash; to break open, to break down",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2299
viol,a rape,noun,19.469000,NOM,noun,a rape,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2300
patience,patience (the quality of being patient),noun,19.453000,NOM,noun,patience (the quality of being patient),Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2301
câble,cable,noun,19.436000,NOM,noun|verb,cable,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2302
pourri,"bad; lame; spoilt (child); swine, bastard",adjective / noun,19.413000,ADJ|NOM,adj|noun|verb,"bad; lame; spoilt (child); swine, bastard",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2303
lutte,"wrestling; struggle, fight, battle",noun,19.409000,NOM,noun|verb,"wrestling; struggle, fight, battle",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2304
clown,clown (performer); clown (person who acts in a comic way),noun,19.402000,NOM,noun,clown (performer); clown (person who acts in a comic way),Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2305
huile,"oil (liquid fat); big gun, big cheese (person of consequence)",noun,19.396000,NOM,noun|verb,"oil (liquid fat); big gun, big cheese (person of consequence)",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2306
mobile,mobile; moving; movable,adjective / noun,19.378000,ADJ|NOM,adj|noun,mobile; moving; movable,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2307
passeport,passport (official document),noun,19.338000,NOM,noun,passport (official document),Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2308
choper,"to arrest, catch; to steal, nick, pinch; to pick up, collect a passenger",verb,19.335000,VER,verb,"to arrest, catch; to steal, nick, pinch; to pick up, collect a passenger",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2309
analyser,"to analyse; to parse, to construe",verb,19.328000,VER,verb,"to analyse; to parse, to construe",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2310
major,"major (field officer rank); the highest non-commissioned officer rank: sergeant major, “major”",noun,19.303000,NOM,noun,"major (field officer rank); the highest non-commissioned officer rank: sergeant major, “major”",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2311
cabine,cabin (aeroplane),noun,19.278000,NOM,noun,cabin (aeroplane),Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2312
lance,"a hose; a spear, lance; a lancer (a soldier armed with a lance)",noun,19.262000,NOM,noun|verb,"a hose; a spear, lance; a lancer (a soldier armed with a lance)",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2313
portefeuille,folder; wallet; portfolio,noun,19.253000,NOM,noun,folder; wallet; portfolio,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2314
fièvre,fever,noun,19.247000,NOM,noun,fever,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2315
larguer,"to unfurl; to ease (a line); to drop (a bomb, parachute)",verb,19.247000,VER,verb,"to unfurl; to ease (a line); to drop (a bomb, parachute)",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2316
livraison,delivery; livraison,noun,19.240000,NOM,noun,delivery; livraison,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2317
flamme,"flame; veterinary lancet; talent, brilliance",noun,19.237000,NOM,noun|verb,"flame; veterinary lancet; talent, brilliance",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2318
bourrer,to rush; to binge; to get drunk,verb,19.197000,VER,verb,to rush; to binge; to get drunk,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2319
température,temperature,noun,19.196000,NOM,noun,temperature,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,2320
