rank,front,meaning,pos,root,frequency,calima_exact_analyses,source
2028,فلسفة,philosophy,noun,ف ل س ف,679663,7,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2029,كودة,pile; heap,noun,,679015,7,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2030,غضب,anger; wrath,noun,غ ض ب,677403,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2031,معالج,processor; CPU,noun,ع ل ج,674732,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2032,معاصر,contemporary; contemporaneous,adj,ع ص ر,674266,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2033,محتل,occupied,adj,ح ل ل,674112,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2034,إس,S,abbrev,,672679,1,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2035,إجمالي,comprehensive; collective; full,adj,ج م ل,671879,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2036,راتب,salary; pay,noun,ر ت ب,668047,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2037,يهودي,Jewish,adj,,667483,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2038,طائفة,sect; party; faction,noun,,666774,7,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2039,عائد,returning; attributed to,adj,,666599,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2040,تلفزيوني,television,adj,,666167,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2041,نظير,counterpart; opposite number; colleague; peer,noun,ن ظ ر,665530,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2042,جراحة,surgery,noun,ج ر ح,665480,14,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2043,زرع,planting (seed); implanting (artificial heart); laying (mine),noun,ز ر ع,665432,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2044,مائي,watery; liquid; aquatic,adj,,665326,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2045,تكريم,honoring; tribute,noun,ك ر م,665214,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2046,إما,either,conj,,664775,1,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2047,مبيع,sold,noun,,664684,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2048,مقدم,front part,noun,ق د م,664673,24,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2049,مصير,path; destiny; fate,noun,,664404,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2050,تخلص,freedom; riddance; escape,noun,خ ل ص,663903,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2051,وقاية,precaution; prevention; protection,noun,,662734,14,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2052,وقوف,standing; stopping; halting,noun,,662285,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2053,مصور,photographer,noun,,662076,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2054,مؤهل,qualified; competent; certified,adj,,661972,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2055,مكرر,refined; distilled,adj,ك ر ر,661929,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2056,مربع,square; quadruple; tetragonal,noun,ر ب ع,661573,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2057,تأليف,authoring; composing; constituting,noun,,661223,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2058,موج,wave,noun,,660600,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2059,متجر,store; business,noun,ت ج ر,659896,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2060,تصفية,elimination series (sports),noun,,659590,35,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2061,زاوية,corner; nook; angle,noun,,658177,7,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2062,شائع,widespread; well-known,adj,,658040,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2063,موجه,directed; aimed,adj,,657798,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2064,شراكة,partnership,noun,ش ر ك,657548,7,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2065,إماراتي,Emirati (of; from the UAE),adj,,657204,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2066,معتقل,prison camp,noun,ع ق ل,656460,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2067,توصل,attainment; arrival; reunion,noun,,656232,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2068,ثلاثي,three-part; trio; corner (shot),adj,ث ل ث,655196,7,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2069,كريم,creme,noun,,654996,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2070,دعوى,lawsuit; allegation; legal action,noun,,654695,1,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2071,نزاع,conflict; struggle,noun,ن ز ع,654592,18,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2072,إدخال,insertion; entering; inclusion,noun,د خ ل,653963,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2073,خصص,specify; designate; allocate,verb,خ ص ص,652568,2,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2074,رقابة,censorship; surveillance,noun,ر ق ب,650245,7,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2075,مكتوب,written,adj,ك ت ب,650102,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2076,كفى,be enough; suffice,verb,,649646,1,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2077,متحرك,moving; mobile,adj,ح ر ك,648532,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2078,مرتبة,level; degree; rank; class,noun,ر ت ب,648263,7,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2079,سرقة,stealing; theft; heist,noun,س ر ق,648102,14,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2080,كوري,Korean,adj,,647546,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2081,دردشة,chat; conversation,noun,د ر د ش,645831,7,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2082,حاضر,present; attending,adj,ح ض ر,645824,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2083,جنسي,sexual,adj,ج ن س,644537,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2084,موضح,clarifying; explaining; indicating,noun,,643059,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2085,واجهة,facade; outside,noun,,642796,7,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2086,محفوظ,preserved; safeguarded,noun,ح ف ظ,640089,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2087,مرتفع,elevated; rising,noun,ر ف ع,639684,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2088,برلماني,parliamentary,adj,,638857,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2089,وارد,appearing; mentioned,adj,,638230,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2090,علق,comment,verb,ع ل ق,637801,2,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2091,قوم,people; nation,noun,,636122,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2092,زر,button; switch button,noun,ز ر ر,635674,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2093,رصد,observation; survey,noun,ر ص د,635125,18,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2094,ملخص,summary; extract,noun,ل خ ص,635033,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2095,أسفر,cause; produce; result in,verb,س ف ر,634840,5,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2096,مخطط,plan; sketch,noun,خ ط ط,634754,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2097,جاف,dry,noun,,634023,8,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2098,جدار,wall,noun,ج د ر,633839,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2099,حريق,fire,noun,ح ر ق,633487,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2100,ني,fat,noun,,633440,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2101,مقاول,contractor,noun,,632690,10,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2102,توفيق,success; successful outcome; conformation,noun,,632440,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2103,خطبة,speech; sermon,noun,خ ط ب,632180,18,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2104,ذاكرة,memory,noun,ذ ك ر,631078,7,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2105,رومانسي,romantic,adj,,630367,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2106,سلمي,peaceful; pacifist,adj,س ل م,630290,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2107,تخفيض,lowering; reduction; decrease,noun,خ ف ض,630269,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2108,وقوع,occurrence; happening,noun,,630013,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2109,شدة,intensity; forcefulness,noun,ش د د,629849,7,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2110,موحد,united; standardized,adj,,629322,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2111,عفش,collect; gather,verb,ع ف ش,628177,1,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2112,جسر,bridge; (reinforcement) beam or bar,noun,ج س ر,628064,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2113,مذهب,ideology; trend,noun,ذ ه ب,626942,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2114,تسلية,consolation; amusement; entertainment,noun,,624833,7,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2115,مصمم,determined; resolute,adj,ص م م,624773,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2116,أبصار,perceptions; views; glances,noun,ب ص ر,624597,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2117,صحابة,companions of the Prophet,noun,ص ح ب,623867,7,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2118,تسوية,settlement; solution,noun,,623063,7,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2119,دير,monastery; convent,noun,,622124,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2120,موجب,requiring,noun,,621907,18,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2121,إبل,camels,noun,,621453,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2122,ساحل,coast; seashore,noun,س ح ل,621381,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2123,فيزياء,physics,noun,,620694,4,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2124,مسافة,distance; interval,noun,,620413,7,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2125,تعطيل,hindering; interruption; obstruction,noun,ع ط ل,620027,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2126,محب,loving; desiring,noun,ح ب ب,619697,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2127,إستراتيجية,strategy,noun,,619426,7,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2128,كذا,such; thus,conj,,619231,1,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2129,كلي,total; complete; entire,adj,ك ل ل,618782,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2130,تدبير,arrangement; preparation; management,noun,د ب ر,618743,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2131,راعي,guardian; patron; sponsor,noun,,618433,7,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2132,سيطر,dominate; seize; command,verb,س ط ر,618189,8,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2133,عبادة,worship; religious practice,noun,ع ب د,617725,7,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2134,شريط,tape; strip; ribbon,noun,ش ر ط,616900,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2135,ود,affection; friendship,noun,,616591,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2136,أسن,older,noun,س ن ن,616169,4,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2137,عمق,depth; bottom,noun,ع م ق,615991,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2138,حظي,enjoy; gain,verb,,615521,1,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2139,طريفة,rarity; oddity,noun,ط ر ف,615005,7,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2140,أكلة,halos; coronas,noun,ك ل ل,615004,21,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2141,راحل,departing,noun,ر ح ل,613818,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2142,طفولة,infancy,noun,ط ف ل,613520,7,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2143,مارس,practice; pursue; exercise,verb,م ر س,613135,1,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2144,إجابة,answer; response; consent,noun,,612567,7,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2145,حكمة,wisdom; maxim,noun,ح ك م,608527,7,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2146,تدريس,teaching; instruction; faculty,noun,د ر س,607786,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2147,أجاب,answer; reply; comply,verb,,607677,2,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2148,عميق,deep; profound,adj,ع م ق,606313,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2149,جامع,comprehensive; extensive,noun,ج م ع,605902,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2150,رابط,be stationed; take up positions,verb,ر ب ط,604392,1,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2151,أنصار,partisans; followers,noun,ن ص ر,604053,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2152,حظر,prohibition; ban,noun,ح ظ ر,603754,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2153,فيروس,virus,noun,ف ر س,603706,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2154,قرض,loan,noun,ق ر ض,603209,18,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2155,معاملة,treatment; dealing with; procedure,noun,ع م ل,601926,7,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2156,وجبة,meal; menu,noun,,601817,28,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2157,كاف,sufficient; adequate; competent,noun,,601769,8,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2158,موسيقي,musical,adj,م س ق,600033,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2159,شيطان,devil,noun,ش ط ن,598744,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2160,مرجع,source; reference work,noun,ر ج ع,598734,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2161,قم,sweep,verb,ق م م,598150,1,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2162,فارق,difference,noun,ف ر ق,597818,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2163,منتصف,middle; halfway,noun,ن ص ف,597746,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2164,صلة,link; connection; contact,noun,,596840,7,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2165,مماثل,similar; analogous; resembling,adj,م ث ل,596722,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2166,لحم,meat; flesh,noun,ل ح م,596470,17,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2167,مسبق,previous; preceding,adj,س ب ق,596405,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2168,تمثل,represent; constitute; act,verb,م ث ل,596078,7,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2169,أدار,direct; manage; conduct,verb,,595987,2,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2170,ساد,prevail; be predominant; rule; govern,verb,,595478,1,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2171,بنى,build; erect,verb,,595461,1,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2172,طباعة,printing,noun,ط ب ع,593140,7,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2173,إسكان,housing,noun,س ك ن,592778,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2174,غلب,defeat; overcome,verb,غ ل ب,591730,1,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2175,فصيل,cell; branch; group,noun,ف ص ل,591258,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2176,إحصاء,calculation; statistics,noun,,590895,4,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2177,مهنة,vocation; profession; occupation,noun,م ه ن,589491,11,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2178,ربط,tying; connecting,noun,ر ب ط,589268,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2179,تشريعي,legislative,adj,ش ر ع,587798,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2180,جثة,corpse,noun,ج ث ث,587797,7,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2181,سني,Sunni,adj,س ن ن,587733,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2182,بلدي,indigenous; popular,adj,ب ل د,587684,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2183,نظرية,theory,noun,ن ظ ر,587597,7,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2184,متحف,museum,noun,ت ح ف,587292,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2185,تكون,is; are,verb,,586632,7,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2186,همس,whisper; mutter,verb,ه م س,586631,1,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2187,نظافة,cleanliness; cleaning,noun,ن ظ ف,586350,7,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2188,كفاءة,competence; suitability; proficiency,noun,,585480,7,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2189,سعي,endeavor; pursuit,noun,,585297,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2190,إخراج,production; extraction; ousting,noun,خ ر ج,584991,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2191,ناطق,speaker; speaking; spokesman,noun,ن ط ق,584742,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2192,مرسى,anchorage,noun,,584363,1,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2193,حربي,military; war-related,adj,ح ر ب,583967,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2194,متن,deck; board; surface,noun,م ت ن,583817,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2195,ركز,focus; concentrate; emphasize,verb,ر ك ز,583783,2,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2196,حزن,sadness,noun,ح ز ن,583777,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2197,دبلوماسي,diplomatic,adj,,583137,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2198,مهاجر,places emigrated to,noun,ه ج ر,583107,14,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2199,خصم,adversary,noun,خ ص م,582975,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2200,مؤقت,temporary; provisional,noun,,582741,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2201,فعلي,actual; real; de facto,adj,ف ع ل,582645,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2202,دراما,drama,noun,,582298,4,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2203,جريح,wounded; injured,noun,ج ر ح,581186,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2204,جدد,renew; repeat,verb,ج د د,581073,1,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2205,عثور,discovery,noun,ع ث ر,580870,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2206,ناجح,successful,noun,ن ج ح,580220,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2207,عجز,weakness; inability,noun,ع ج ز,579779,18,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2208,مضى,continue; proceed,verb,,579460,3,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2209,ت,T; (date); (time; timing); (died); 22nd,abbrev,,579177,1,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2210,خضع,submit; be subject,verb,خ ض ع,577943,2,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2211,توفى,die; pass away; expire,verb,,577917,8,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2212,ثروة,wealth; abundance,noun,,577140,7,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2213,بحريني,Bahraini,adj,,575883,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2214,مواصفة,description,noun,,575055,14,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2215,هائل,huge; formidable; appalling,adj,,574421,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
2216,نظيف,clean; tidy,adj,ن ظ ف,573343,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
