rank,front,lemma_undiac,pos,root,english_gloss,frequency,surface_types,top_surfaces
3107,سَعُودِيَّة,سعودية,noun,س ع د,and + the+Saudi Arabia+[fem.sg.],282798,2,والسعودية:183533 | للسعودية:99265
3108,شَفْرَة,شفرة,noun,ش ف ر,the+blades;edges+[fem.pl.],282445,4,الشفرات:166814 | شفرات:62038 | والشفرات:34918 | الشفرة:18675
3109,وِساطَة,وساطة,noun,,the+means;medium+[fem.sg.],282102,5,الوساطة:127992 | وساطة:75372 | بوساطة:41869 | والوساطة:19205 | للوساطة:17664
3110,ناشِر,ناشر,noun,ن ش ر,the+publisher+[def.nom.],281937,3,الناشر:212193 | ناشر:38624 | الناشرين:31120
3111,ناتِج,ناتج,noun,ن ت ج,the+production;output+[def.gen.],281305,1,الناتج:281305
3112,مِقْياس,مقياس,noun,,standard;measure;measurement+[def.gen.],281186,5,مقياس:98540 | المقاييس:80752 | مقاييس:42260 | والمقاييس:30508 | المقياس:29126
3113,حَزِين,حزين,noun,ح ز ن,sad,280861,6,حزين:86941 | حزينة:75670 | حزينه:35616 | الحزين:33869 | الحزينة:30022 | حزينا:18743
3114,قارَب,قارب,verb,ق ر ب,he;it+come close to;approximate,280536,3,يقارب:229236 | أقاربه:30240 | قاربت:21060
3115,حَبِيب,حبيب,noun,ح ب ب,dear;beloved,280482,6,احباب:134303 | أحباب:53248 | الأحبة:38674 | الأحباب:20884 | الاحباب:16874 | الاحبة:16499
3116,بُرْتُغالِيّ,برتغالي,adj,,the+Portuguese+[def.gen.],280459,3,البرتغالي:182782 | البرتغالية:79233 | البرتغالى:18444
3117,إِم,إم,abbrev,,M.,280394,1,إم:280394
3118,حَسَبَما,حسبما,conj,,according to,280211,1,حسبما:280211
3119,مُبْتَدِئ,مبتدئ,noun,,to;for + the+beginning;beginner+two,279925,4,للمبتدئين:150431 | المبتدئين:66872 | مبتدئة:33175 | والمبتدئين:29447
3120,بَيْطَرِيّ,بيطري,adj,ب ط ر,the+veterinary+[fem.sg.],279923,4,البيطرية:169883 | البيطري:63821 | البيطرى:24866 | بيطري:21353
3121,ثَدْي,ثدي,noun,,the+breast,279878,2,الثدي:252033 | الثديين:27845
3122,مِيثاق,ميثاق,noun,,treaty;pact;charter+[def.gen.],279767,5,ميثاق:116736 | الميثاق:81676 | المواثيق:32512 | والمواثيق:26385 | ميثاقية:22458
3123,وَقِيعَة,وقيعة,noun,,events;incidents+[def.acc.],279666,3,وقائع:130796 | الوقائع:130790 | والوقائع:18080
3124,حِذْر,حذر,noun,ح ذ ر,the+caution+[def.gen.],279564,4,الحذر:157861 | والحذر:48230 | بحذر:39312 | حذرا:34161
3125,نُصْب,نصب,noun,ن ص ب,monument;memorial+[def.acc.],279303,2,نصب:165873 | النصب:113430
3126,مُنْتَشِر,منتشر,adj,ن ش ر,the+spreading;scattered;prevalent+[fem.sg.],279267,5,المنتشرة:150355 | منتشرة:73691 | المنتشر:19536 | منتشر:18421 | المنتشرين:17264
3127,إِصْدارات,إصدارات,noun,ص د ر,exports+[fem.pl.],279182,4,اصدارات:101231 | إصدارات:87369 | الإصدارات:63664 | الاصدارات:26918
3128,إِسْتاد,إستاد,noun,,stadium+[def.gen.],279014,4,استاد:143835 | ستاد:70097 | باستاد:36440 | الاستاد:28642
3129,خَلَل,خلل,noun,خ ل ل,fault;malfunction;gap+[indef.gen.],279000,3,خلل:142191 | الخلل:115226 | خللا:21583
3130,بُقْعَة,بقعة,noun,ب ق ع,the+spots;stains+[def.nom.],278965,4,البقع:85712 | بقعة:82494 | البقعة:61867 | بقع:48892
3131,ضَوْئِيّ,ضوئي,adj,,the+light;luminous;clear,278841,2,الضوئي:218048 | الضوئية:60793
3132,أَيّ,أي,pron_rel,,whatever;whichever,278791,3,أيا:204982 | ايا:49706 | وبأي:24103
3133,طارِئ,طارئ,adj,,the+emergency;unscheduled;unforeseen+[fem.sg.],278645,5,الطارئة:90547 | طارئة:78697 | طارئ:67430 | الطارئ:23200 | طارئا:18771
3134,فَلَّل,فلل,verb,ف ل ل,dent;notch;nick+he;it <verb>,278631,1,فلل:278631
3135,طَوْر,طور,noun,,stage;phase;period+[def.gen.],278531,4,طور:142777 | الطور:89921 | الأطوار:28305 | أطوار:17528
3136,عَلِيّ,علي,adj,,the+supreme;high,278103,4,العلي:203610 | عليان:29474 | العلى:27872 | العليان:17147
3137,مَعْمَل,معمل,noun,ع م ل,laboratory;factory;installation+[def.gen.],278020,4,معمل:104180 | معامل:80838 | المعامل:51347 | المعمل:41655
3138,ضِيق,ضيق,noun,,narrowness;anxiety;shortage+[def.gen.],278010,4,ضيق:155072 | الضيق:69145 | وضيق:35928 | ضيقا:17865
3139,دُوار,دوار,noun,,vertigo+[indef.nom.],277864,2,دوار:181387 | الدوار:96477
3140,مُعادَلَة,معادلة,noun,ع د ل,equation+[fem.sg.],277856,4,معادلة:112446 | المعادلة:110729 | المعادلات:34844 | معادلات:19837
3141,فَراغ,فراغ,noun,ف ر غ,the+leisure;spare time+[def.gen.],277808,3,الفراغ:159497 | فراغ:100720 | فراغا:17591
3142,مَصْنُوع,مصنوع,adj,ص ن ع,manufactured;produced+[fem.sg.],277806,4,مصنوعة:114242 | المصنوعة:83053 | مصنوع:47358 | المصنوع:33153
3143,أَصَرّ,أصر,verb,ص ر ر,he;it+insist;assert,277448,7,يصر:69645 | أصر:68069 | تصر:49116 | اصر:25849 | وأصر:25170 | أصرت:22026
3144,كاثُولِيكِيّ,كاثوليكي,adj,,the+Catholics+[def.gen.],277221,3,الكاثوليك:138703 | الكاثوليكية:118172 | الكاثوليكي:20346
3145,تَطْبِيقِيّ,تطبيقي,adj,ط ب ق,the+applied+[fem.sg.],276702,3,التطبيقية:192502 | تطبيقية:42470 | التطبيقي:41730
3146,مَخْزَن,مخزن,noun,خ ز ن,storehouses;depots;shops+[def.acc.],276691,5,مخازن:91688 | مخزن:74784 | المخازن:47098 | المخزن:42476 | والمخازن:20645
3147,ضِيافَة,ضيافة,noun,,the+hospitality;hosting+[fem.sg.],276492,3,الضيافة:188777 | ضيافة:59399 | والضيافة:28316
3148,مَسْبُوق,مسبوق,adj,س ب ق,precedented+[fem.sg.],276379,4,مسبوقة:118626 | مسبوق:107689 | المسبوق:26802 | المسبوقة:23262
3149,صَبّ,صب,verb,ص ب ب,he;it+pour;flow,276192,4,يصب:115870 | تصب:115414 | صبا:24078 | ونصب:20830
3150,غُضُون,غضون,noun,غ ض ن,interim;during+[def.gen.],276189,1,غضون:276189
3151,مِيزانِيَّة,ميزانية,noun,,the+budget;balance+[fem.sg.],276158,4,الميزانية:199770 | الميزانيات:28092 | ميزانيتها:24716 | ميزانيات:23580
3152,قَمْع,قمع,noun,ق م ع,the+repression+[def.gen.],275863,5,القمع:107342 | قمع:99953 | والقمع:24651 | وقمع:22468 | لقمع:21449
3153,نَيْل,نيل,noun,,attainment;achievement;acquiring+[def.gen.],275617,5,نيل:95992 | لنيل:79301 | نيلي:43349 | والنيل:28714 | للنيل:28261
3154,تَكَرَّر,تكرر,verb,ك ر ر,it;they;she+be repeated;be reiterated,275198,4,تتكرر:81696 | يتكرر:80235 | تكرر:71197 | تكررت:42070
3155,لاسِلْكِيّ,لاسلكي,adj,س ل ك,the+wireless;radio+[fem.sg.],275127,5,اللاسلكية:95643 | واللاسلكية:66329 | اللاسلكي:63864 | لاسلكي:24682 | لاسلكية:24609
3156,شُهْرَة,شهرة,noun,ش ه ر,reputation;fame+[fem.sg.],274928,4,شهرة:145059 | الشهرة:83300 | شهرته:28924 | والشهرة:17645
3157,تَطَلَّع,تطلع,verb,ط ل ع,he;it+aspire;look (forward) to,274900,6,يتطلع:83950 | تتطلع:70336 | نتطلع:61964 | يتطلعون:23332 | ونتطلع:18881 | ويتطلع:16437
3158,مُمْتِع,ممتع,adj,م ت ع,pleasing;gratifying+its;his,274853,6,ممتعة:110537 | ممتع:66670 | الممتعة:32696 | وممتعة:23788 | ممتعا:23130 | الممتع:18032
3159,سامِيّ,سامي,adj,,the+Semite;Semitic+[fem.sg.],274666,2,السامية:181097 | سامية:93569
3160,مِلْعَقَة,ملعقة,noun,ل ع ق,spoon+[fem.sg.],274472,3,ملعقة:209279 | ملاعق:43784 | ملعقتين:21409
3161,أَقْصَر,أقصر,noun,ق ص ر,shorter;shortest+[def.nom.],274100,1,أقصر:274100
3162,مَعَك,معك,verb,م ع ك,rub+he;it <verb>,274093,1,معك:274093
3163,سَهْرَة,سهرة,noun,س ه ر,soiree;evening gathering+[fem.sg.],274039,6,سهرة:124727 | السهرة:48021 | سهره:35065 | سهرات:26857 | والسهرات:22867 | السهرات:16502
3164,حَلَم,حلم,verb,ح ل م,he;it+dream,273740,6,يحلم:75404 | حلمت:74239 | تحلم:47980 | نحلم:37755 | أحلم:20961 | يحلمون:17401
3165,ظَفَر,ظفر,noun,ظ ف ر,victory,273597,4,ظفر:137870 | ظفرة:58191 | الأظافر:45919 | الظفر:31617
3166,جَوْهَرِيّ,جوهري,adj,ج ه ر,the+fundamental;essential+[def.gen.],273575,5,الجوهري:96161 | جوهرية:55694 | جوهري:53542 | الجوهرية:45419 | جوهريا:22759
3167,مَعْبَر,معبر,noun,ع ب ر,crossing point;juncture+[def.gen.],273532,2,معبر:194117 | المعابر:79415
3168,باقَة,باقة,noun,,bouquet+[fem.sg.],273402,3,باقة:203147 | الباقة:42131 | بباقة:28124
3169,أُسْطُورَة,أسطورة,noun,س ط ر,myth;legend;tale+[fem.sg.],273354,6,أسطورة:74196 | الأسطورة:61820 | الاسطورة:39909 | الأساطير:39608 | أساطير:32763 | اسطورة:25058
3170,زَهْر,زهر,noun,ز ه ر,flower+two,273318,7,زهران:82213 | الزهرة:54128 | الزهر:37518 | زهر:29607 | الزهرات:24711 | زهرات:23716
3171,عَقْلِيّ,عقلي,adj,ع ق ل,the+rational+[fem.sg.],273107,3,العقلية:171484 | العقلي:74086 | عقليا:27537
3172,تَأْخِير,تأخير,noun,,delay+[indef.gen.],273035,3,تأخير:164987 | التأخير:90269 | وتأخير:17779
3173,تَنْظِيمِيّ,تنظيمي,adj,ن ظ م,the+organizational;controlling;planning;regulating+[fem.sg.],273007,4,التنظيمية:137232 | التنظيمي:86815 | تنظيمي:25889 | والتنظيمية:23071
3174,دَكّ,دك,noun,د ك ك,level ground;devastation+its;his,272865,2,دكة:251999 | دك:20866
3175,صَلِيب,صليب,noun,ص ل ب,the+cross;crucifix+[def.gen.],272832,5,الصليب:145310 | للصليب:54864 | صليبا:35630 | صليب:19249 | والصليب:17779
3176,صَعِد,صعد,verb,ص ع د,rise;climb+he;it <verb>,271910,5,صعد:89244 | يصعد:58375 | وصعد:48176 | صعدت:41941 | تصعد:34174
3177,مُجْتَمَعِيّ,مجتمعي,adj,ج م ع,the+societal+[fem.sg.],271716,3,المجتمعية:168626 | المجتمعي:78913 | والمجتمعية:24177
3178,أَوْلَوِيَّة,أولوية,noun,,the+priority;precedence+[fem.sg.],271710,4,الأولوية:108882 | أولوية:104134 | الاولوية:32438 | اولوية:26256
3179,يَتِيم,يتيم,noun,,the+orphans;unique,271646,7,الأيتام:71698 | يتيم:50796 | اليتيم:49693 | يتيما:30320 | اليتامى:28206 | الايتام:20861
3180,فَرْحَة,فرحة,noun,ف ر ح,joy+[fem.sg.],271639,4,فرحة:115547 | فرحات:70351 | الفرحة:69519 | فرحتهم:16222
3181,حَسّاس,حساس,noun,ح س س,the+sensitive+[fem.sg.],271489,4,الحساسة:129202 | حساسة:75309 | حساس:44161 | الحساس:22817
3182,أُسْتُرالِيّ,أسترالي,adj,,the+Australian,271299,4,الأسترالي:146544 | الأسترالية:54921 | الاسترالي:51455 | الأوسترالية:18379
3183,دَمْج,دمج,noun,د م ج,insertion;inclusion;integration+[def.gen.],271010,4,دمج:143436 | الدمج:94156 | ودمج:16956 | لدمج:16462
3184,سَوَّف,سوف,verb,,postpone;procrastinate+it;they;she <verb>,270844,2,سوفت:250809 | سوفه:20035
3185,عُمّالِيّ,عمالي,adj,ع م ل,the+labor;workers'+[fem.sg.],270733,3,العمالية:169974 | العمالي:84208 | عمالية:16551
3186,شاطَر,شاطر,verb,ش ط ر,participate;share+he;it <verb>,270653,1,شاطر:270653
3187,هادِئ,هادئ,adj,,calm;quiet;peaceful+[fem.sg.],270538,4,هادئة:128248 | هادئ:64792 | الهادئة:46421 | هادئا:31077
3188,رُومانِيّ,روماني,adj,,the+Romanian+[fem.sg.],270183,2,الرومانية:149801 | روماني:120382
3189,عِبْرِيّ,عبري,adj,ع ب ر,the+Hebrew+[fem.sg.],270043,3,العبرية:218599 | العبري:35349 | عبرية:16095
3190,مائِدَة,مائدة,noun,,the+table+[fem.sg.],269982,3,المائدة:145882 | مائدة:102053 | موائد:22047
3191,تَسامُح,تسامح,noun,س م ح,the+tolerance+[def.gen.],269968,4,التسامح:141673 | والتسامح:80737 | للتسامح:31242 | تسامح:16316
3192,مَسْمُوع,مسموع,adj,س م ع,the+audible;perceptible+[fem.sg.],269754,7,المسموعة:83286 | مسموعة:40906 | والمسموعة:39889 | مسموع:32841 | المسموع:31462 | والمسموع:24472
3193,مُجْرِم,مجرم,noun,ج ر م,the+criminal+[masc.pl.],269680,5,المجرمين:113400 | المجرم:68876 | مجرم:42740 | والمجرمين:26210 | المجرمون:18454
3194,فِيدِرالِيّ,فيدرالي,adj,,the+Federal+[fem.sg.],269285,5,الفيدرالية:86151 | الفدرالية:62275 | الفيدرالي:57933 | الفدرالي:46838 | الفيديرالي:16088
3195,وِفاق,وفاق,noun,,the+agreement;accord+[def.gen.],268855,2,الوفاق:208059 | وفاق:60796
3196,عَجَلَة,عجلة,noun,ع ج ل,wheel;tire+[fem.sg.],268766,4,عجلة:159008 | عجلات:42183 | العجلات:35536 | العجلة:32039
3197,مُعَجَّنات,معجنات,noun,ع ج ن,the+pies;pastries+[fem.pl.],268763,4,المعجنات:108794 | معجنات:98273 | والمعجنات:43954 | ومعجنات:17742
3198,مُرِيح,مريح,adj,,soothing;restful;comfortable+[fem.sg.],268575,5,مريحة:107742 | مريح:74614 | ومريحة:34515 | المريح:29982 | المريحة:21722
3199,غَضّ,غض,noun,غ ض ض,by;with+turning aside+[def.gen.],268371,3,بغض:205124 | وبغض:35504 | غض:27743
3200,تَمْوِين,تموين,noun,,the+food supply;provisions+[def.gen.],267966,3,التموين:222416 | تموين:29655 | والتموين:15895
3201,مَقْبَر,مقبر,noun,ق ب ر,tomb;graveyard+[fem.sg.],267963,4,مقبرة:107658 | المقابر:61052 | المقبرة:54952 | مقابر:44301
3202,جَوْف,جوف,noun,,the+belly;cavity;middle,267766,2,الجوف:238511 | بالجوف:29255
3203,مَبْعُوث,مبعوث,noun,ب ع ث,the+envoy;representative+[def.gen.],267740,2,المبعوث:201373 | مبعوث:66367
3204,ماهُوَ,ماهو,pron_rel,,what,267111,2,ماهو:248657 | وماهو:18454
3205,صَفاً,صفا,noun,,stones;rocks,266909,2,صفا:146809 | الصفا:120100
3206,لِصّ,لص,noun,ل ص ص,by;with+thief,266875,5,بلص:139854 | اللصوص:44357 | لصوص:32805 | اللص:27731 | لص:22128
3207,رَشاقَة,رشاقة,noun,ر ش ق,the+shapeliness;slenderness+[fem.sg.],266857,4,الرشاقة:110284 | والرشاقة:54668 | ورشاقة:54127 | رشاقة:47778
3208,ضَمِير,ضمير,noun,ض م ر,the+conscience;pronoun+[def.gen.],266741,5,الضمير:114173 | ضمير:89356 | الضمائر:23467 | والضمير:22189 | ضميره:17556
3209,قُطْر,قطر,noun,ق ط ر,by;with+region;district+[def.gen.],266710,3,بقطر:195976 | أقطار:36931 | الأقطار:33803
3210,تَناسَب,تناسب,verb,ن س ب,he;it+be in agreement;be compatible,266604,3,يتناسب:127901 | تتناسب:115762 | لتناسب:22941
3211,ن,ن,abbrev,,N;14th,266544,1,ن:266544
3212,لِيبِيّ,ليبي,noun,,Libyan,266501,2,ليبي:170263 | الليبيين:96238
3213,بارّ,بار,noun,,pious;charitable,266292,5,بار:154083 | الأبرار:40203 | البار:38794 | الابرار:17040 | كبارة:16172
3214,سَرِير,سرير,noun,س ر ر,bed;couch,266072,4,سرير:113330 | السرير:105530 | سريري:29486 | سريرا:17726
3215,أُمُومَة,أمومة,noun,,the+maternity+[fem.sg.],265767,6,الأمومة:132281 | الامومة:51836 | والأمومة:29144 | الامومه:18363 | والامومة:17861 | أمومة:16282
3216,راغِب,راغب,noun,ر غ ب,the+wishing;desirous+[masc.pl.],265585,3,الراغبين:181871 | للراغبين:53061 | الراغبة:30653
3217,حَثّ,حث,verb,ح ث ث,urge;incite+he;it <verb>,265457,6,حث:93832 | وحث:63621 | تحث:37657 | يحث:31422 | حثت:20635 | وحثهم:18290
3218,بَنُون,بنون,noun,,sons;children,265443,5,بنو:98748 | للبنين:75160 | البنين:53601 | وبنو:21195 | ببنين:16739
3219,تَلَوُّث,تلوث,noun,,the+pollution;contamination+[def.gen.],265340,3,التلوث:150567 | تلوث:96436 | للتلوث:18337
3220,مُهاجَمَة,مهاجمة,noun,ه ج م,raid;attack;charge+[fem.sg.],265020,3,مهاجمة:218937 | بمهاجمة:24539 | لمهاجمة:21544
3221,مَشَى,مشى,verb,,he;it+walk;proceed,264794,6,يمشي:81786 | مشين:48972 | تمشي:44696 | نمشي:42923 | مشى:25739 | مشيا:20678
3222,نَباتِيّ,نباتي,adj,ن ب ت,the+vegetable;botanical,264750,3,النباتي:166006 | النباتية:74094 | نباتية:24650
3223,مَجْزَرَة,مجزرة,noun,ج ز ر,massacre;slaughter+[fem.sg.],264705,4,مجزرة:101555 | المجازر:67969 | المجزرة:52464 | مجازر:42717
3224,حِجاب,حجاب,noun,ح ج ب,the+veil+[def.gen.],264637,3,الحجاب:169417 | حجاب:78381 | بالحجاب:16839
3225,مُراعاة,مراعاة,noun,,compliance;observance;deference+[fem.sg.],264507,2,مراعاة:234422 | ومراعاة:30085
3226,عَرِيق,عريق,adj,ع ر ق,the+deep-rooted;ancient and noble+[fem.sg.],264276,4,العريقة:95037 | العريق:82285 | عريقة:59034 | عريق:27920
3227,أَثَرِيّ,أثري,adj,,the+archeological;historical+[fem.sg.],264116,4,الأثرية:150149 | الاثرية:57377 | الأثري:40307 | اثرية:16283
3228,عَبْد,عبد,noun,ع ب د,the+slaves;blacks,263886,5,العبيد:82922 | عبدا:66073 | عبدك:57482 | عبدة:32665 | العبدة:24744
3229,هَدْم,هدم,noun,ه د م,demolition;razing+[def.gen.],263837,5,هدم:133427 | الهدم:44411 | وهدم:30880 | لهدم:28117 | بهدم:27002
3230,نافِع,نافع,noun,ن ف ع,useful;beneficial;productive,263577,5,نافع:144745 | النافعة:37378 | النافع:36407 | نافعة:28238 | نافعا:16809
3231,رُزّ,رز,noun,ر ز ز,the+rice,263440,4,الأرز:163137 | الارز:53195 | الرز:28727 | والأرز:18381
3232,عِقاب,عقاب,noun,ع ق ب,the+punishment;penalty+[def.gen.],263351,4,العقاب:145542 | عقاب:69100 | والعقاب:26971 | عقابا:21738
3233,كَثافَة,كثافة,noun,ك ث ف,density;compactness+[fem.sg.],263248,3,كثافة:111839 | الكثافة:87609 | بكثافة:63800
3234,سَرَى,سرى,verb,,flow;circulate;spread+it;they;she <verb>,263186,6,سرت:71159 | يسري:66633 | يسرى:44070 | تسري:29259 | أسرية:28680 | نسر:23385
3235,نَهار,نهار,noun,ن ه ر,daytime;day+[def.gen.],263042,3,نهار:155355 | نهارا:73274 | ونهارا:34413
3236,عَبْوَة,عبوة,noun,,package;pack;charge+[fem.sg.],263033,4,عبوة:134061 | عبوات:57150 | العبوات:42967 | العبوة:28855
3237,كَنارِيّ,كناري,noun,ك ن ر,the+canary;Canary+[def.gen.],262958,2,الكناري:164533 | للكناري:98425
3238,شُرْب,شرب,noun,ش ر ب,the+drinking+[def.gen.],262731,4,الشرب:167891 | للشرب:51262 | والشرب:26052 | بشرب:17526
3239,تَطْهِير,تطهير,noun,ط ه ر,purging;disinfecting+[indef.gen.],262699,5,تطهير:144484 | التطهير:53082 | وتطهير:26032 | لتطهير:22823 | والتطهير:16278
3240,عُنَيْزَة,عنيزة,noun,ع ن ز,kid;young goat+[fem.sg.],262488,2,عنيزة:237431 | بعنيزة:25057
3241,لَهْجَة,لهجة,noun,ل ه ج,the+tone;dialect+[fem.sg.],262221,6,اللهجة:85666 | اللهجات:51009 | لهجة:48202 | واللهجات:27362 | باللهجة:26472 | بلهجة:23510
3242,عُشّ,عش,noun,ع ش ش,nest+two,261798,3,عشان:194612 | عش:41743 | العش:25443
3243,تَبَرُّع,تبرع,noun,ب ر ع,the+donation;contribution+[def.gen.],261792,4,التبرع:91798 | التبرعات:79728 | تبرعات:49731 | للتبرع:40535
3244,تِنِس,تنس,noun,,to;for + the+tennis,261028,2,للتنس:180247 | التنس:80781
3245,وَقْفَة,وقفة,noun,,stance;posture+[fem.sg.],261019,2,وقفة:206964 | الوقفة:54055
3246,عِلاوَة,علاوة,noun,,increase;raise;bonus+[fem.sg.],260946,3,علاوة:198397 | وعلاوة:41275 | العلاوة:21274
3247,صَعُب,صعب,verb,ص ع ب,he;it+be difficult,260931,2,يصعب:233766 | ويصعب:27165
3248,داء,داء,noun,,disease;illness+[def.gen.],260740,4,داء:100620 | فداء:74786 | الداء:48534 | بداء:36800
3249,بِشارَة,بشارة,noun,ب ش ر,good news+[fem.sg.],260702,5,بشارة:176937 | البشارة:32680 | بشارات:18189 | بشائر:16783 | بشاره:16113
3250,تَبَنِّي,تبني,noun,,adoption,260589,4,تبني:194760 | بتبني:23055 | تبنيه:21390 | التبني:21384
3251,وَرَد,ورد,verb,,be mentioned;appear;arrive+it;they;she <verb>,260423,2,وردت:198900 | وورد:61523
3252,مَوْلُود,مولود,noun,,newborn infant+[indef.nom.],260415,3,مولود:115701 | المولود:92265 | مولودية:52449
3253,دُرِّيّ,دري,adj,د ر ر,glittering+your,260224,4,دريك:120894 | دريان:88774 | بدري:28297 | بدرية:22259
3254,طَمُوح,طموح,adj,ط م ح,the+ambitious;desirous+[def.acc.],260126,7,الطموح:72002 | طموحات:70934 | طموحة:30392 | الطموحات:28827 | الطموحة:21617 | وطموحات:19573
3255,تَفادِي,تفادي,noun,,avoidance,259829,4,تفادي:117428 | لتفادي:85292 | تفاديا:39736 | وتفادي:17373
3256,جانِي,جاني,noun,,delinquents;criminals+[masc.pl.],259757,3,جاني:132089 | الجناة:67063 | الجاني:60605
3257,صارُوخِيّ,صاروخي,adj,ص ر خ,the+missile;rocket+[fem.sg.],259665,4,الصاروخية:79102 | صاروخية:75050 | صاروخي:61337 | الصاروخي:44176
3258,شُيُوعِيّ,شيوعي,adj,,the+Communist+[def.gen.],259406,3,الشيوعي:189867 | الشيوعيين:34925 | الشيوعى:34614
3259,تَرَأَّس,ترأس,verb,,lead;be head of;direct+he;it <verb>,259278,6,ترأس:99707 | يترأس:72950 | ترأسه:23600 | وترأس:21792 | ترأسها:20799 | يترأسها:20430
3260,واجِب,واجب,adj,,the+necessary;incumbent;obligatory+[def.gen.],259220,1,الواجب:259220
3261,برُوتُوكُول,بروتوكول,noun,,protocol+[def.acc.],258714,3,بروتوكول:179133 | البروتوكول:60124 | بروتوكولات:19457
3262,مُنْتَجَع,منتجع,noun,ن ج ع,resort (vacation place)+[def.gen.],258530,6,منتجع:127228 | المنتجع:42454 | المنتجعات:29721 | منتجعات:23988 | والمنتجعات:17690 | ومنتجعات:17449
3263,ثَرِيّ,ثري,adj,,the+wealthy,258520,7,الثرى:78514 | ثري:52827 | الثري:37643 | ثريا:31972 | ثرية:23680 | ثرى:16969
3264,إِيراد,إيراد,noun,,revenues;yields;profits+[fem.pl.],257991,5,إيرادات:92842 | الإيرادات:84024 | ايرادات:30443 | الايرادات:30297 | إيراد:20385
3265,مُبْتَكِر,مبتكر,noun,ب ك ر,inventor;original+[fem.sg.],257984,5,مبتكرة:83190 | المبتكر:61237 | المبتكرة:57676 | ومبتكرة:29940 | مبتكر:25941
3266,مَعْقُول,معقول,adj,ع ق ل,plausible;logical;reasonable+[fem.sg.],257709,3,معقولة:117828 | معقول:77444 | المعقول:62437
3267,نَمَل,نمل,noun,ن م ل,the+itching;tingling,257581,2,النمل:238039 | النملة:19542
3268,وَكَس,وكس,verb,,I+depreciate;suffer losses,257276,5,إكس:110603 | لوكس:64416 | أكس:43135 | ساكس:22364 | سيوكس:16758
3269,مُؤامَرَة,مؤامرة,noun,,plot;conspiracy+[fem.sg.],257039,4,مؤامرة:87145 | المؤامرة:82562 | المؤامرات:55972 | مؤامرات:31360
3270,تَقْسِيط,تقسيط,noun,ق س ط,with;by + the+rationing;distribution+[def.gen.],256867,4,بالتقسيط:133405 | تقسيط:69279 | التقسيط:29595 | وبالتقسيط:24588
3271,مُذْهِل,مذهل,adj,ذ ه ل,amazing;startling+[fem.sg.],256829,5,مذهلة:112131 | مذهل:52464 | المذهلة:43020 | المذهل:28129 | مذهلا:21085
3272,غُدَّة,غدة,noun,غ د د,the+gland+[fem.sg.],256756,2,الغدة:184452 | الغدد:72304
3273,مَشْرِق,مشرق,noun,ش ر ق,the+East;Levant+[def.gen.],256751,3,المشرق:197818 | مشرق:42608 | مشارق:16325
3274,أَلان,ألان,verb,,soften;placate;moderate+you [masc.sg.] <verb>,256709,2,النت:234479 | والنت:22230
3275,مَكَّن,مكن,verb,م ك ن,enable;make possible for+he;it <verb> it;him,256346,7,مكنة:50762 | تمكنه:49588 | مكن:37933 | تمكنها:35853 | تمكنهم:34008 | مكنت:28467
3276,مُفَكِّر,مفكر,noun,ف ك ر,the+intellectual+[def.nom.],256271,6,المفكر:100497 | المفكرين:54649 | والمفكرين:36605 | والمفكر:25063 | مفكر:22930 | المفكرة:16527
3277,سَداد,سداد,noun,س د د,payment;appropriateness+[def.gen.],256190,5,سداد:125691 | السداد:57328 | بسداد:25973 | لسداد:25356 | والسداد:21842
3278,حَمَى,حمى,verb,,it;they;she+defend;protect;forbid,256072,5,تحمي:99179 | يحمي:97092 | وحماة:26870 | يحمى:16985 | تحميها:15946
3279,مُؤَرَّخ,مؤرخ,noun,,the+dated;reported+[def.nom.],255913,5,المؤرخ:103666 | المؤرخين:51965 | المؤرخون:34034 | والمؤرخ:34010 | مؤرخ:32238
3280,مُوالِي,موالي,noun,,the+partisan;sympathizer+[fem.sg.],255843,5,الموالية:101015 | الموالي:47187 | موالية:39334 | الموالين:37443 | موال:30864
3281,بيع,بيع,verb,,and+be sold+he;it <verb>,255714,4,وبيع:105861 | تباع:72992 | يباع:41219 | بيعت:35642
3282,ذِهْن,ذهن,noun,ذ ه ن,the+mind;intellect+[def.nom.],255559,7,الذهن:55436 | ذهن:41804 | أذهان:37589 | ذهني:36267 | الأذهان:34511 | ذهنه:31929
3283,مُسْتَقِرّ,مستقر,adj,ق ر ر,stable;permanent+[fem.sg.],255438,5,مستقرة:109951 | مستقر:70373 | المستقرة:29141 | مستقرا:27232 | المستقر:18741
3284,تَزامُن,تزامن,noun,ز م ن,with;by + the+simultaneity;coincidence+[def.gen.],255370,3,بالتزامن:117578 | تزامنا:84662 | تزامن:53130
3285,تَطَرُّف,تطرف,noun,ط ر ف,the+extremism;radicalism+[def.gen.],255355,2,التطرف:171911 | والتطرف:83444
3286,أَبْرَز,أبرز,verb,ب ر ز,it;they;she+highlight;expose,255352,5,تبرز:113855 | وأبرز:79669 | أبرزت:23109 | ويبرز:22341 | وأبرزت:16378
3287,صَوْم,صوم,noun,,the+fasting;abstinence+[def.gen.],255345,3,الصوم:190485 | صوم:47838 | والصوم:17022
3288,طَرِيف,طريف,adj,ط ر ف,the+curious;strange+[fem.sg.],255311,5,الطريفة:79200 | طريف:65050 | طريفة:51915 | والطريفه:34595 | الطريف:24551
