rank,front,variants,pos_codes,source
822,صاعةم,صاعةم,N\CN,Al-Said 2023 Table 4
823,يهم,َيهم,V\VI,Al-Said 2023 Table 4
824,كىرب,ُكىرب,ADJ,Al-Said 2023 Table 4
825,حمةل,حمةل,N\CN,Al-Said 2023 Table 4
826,تقاداص,ِّتقاداص,N\CN,Al-Said 2023 Table 4
827,لةغ,ُلةغ,N\CN,Al-Said 2023 Table 4
828,عنناو,ُعنناو,N\CN,Al-Said 2023 Table 4
829,كلية,ُكلَّية | ُكلةي,N\CN,Al-Said 2023 Table 4
830,عم,عم,N\CN | V\VP,Al-Said 2023 Table 4
831,قمة,ِّقمة,N\CN,Al-Said 2023 Table 4
832,اتبع,اتبع,N\CN | V\VP,Al-Said 2023 Table 4
833,ئادةر,ِّئادةر,N\CN,Al-Said 2023 Table 4
834,ثادحأ,ثادحأ,N\CN,Al-Said 2023 Table 4
835,بحر,َبْحر,N\CN,Al-Said 2023 Table 4
836,مانسب,مانسب,ADJ,Al-Said 2023 Table 4
837,قةير,َقةير,N\CN,Al-Said 2023 Table 4
838,يبلغ,َيبُلغ | لَبُيغِّ,V\VI,Al-Said 2023 Table 4
839,ءاهتنا,ءاهتنا,N\CN,Al-Said 2023 Table 4
840,معىن,معىن,N\CN,Al-Said 2023 Table 4
841,ييناع,ُييناع,V\VI,Al-Said 2023 Table 4
842,يراج,يراج,ADJ,Al-Said 2023 Table 4
843,مداو,مداو,N\CN,Al-Said 2023 Table 4
844,مسةلأ,مسةلأ,N\CN,Al-Said 2023 Table 4
845,قلق,َقلق | َقِّلَق,N\CN | V\VP,Al-Said 2023 Table 4
846,دعةو,َدعةو,N\CN,Al-Said 2023 Table 4
847,سكنا,ُسكنا,N\CN,Al-Said 2023 Table 4
848,أسباب,أسباب,N\CN,Al-Said 2023 Table 4
849,يقوتف,َيَّقوتف,V\VI,Al-Said 2023 Table 4
850,صف,صف | و | ف | ص,N\CN | V\VP,Al-Said 2023 Table 4
851,بلةد,َبلةد,N\CN,Al-Said 2023 Table 4
852,عجلا,عجلا,N\CN,Al-Said 2023 Table 4
853,وأقار,وأقار,N\CN,Al-Said 2023 Table 4
854,رب,رب | رَّب,N\CN | P\PRE,Al-Said 2023 Table 4
855,ئاسول,ِّئاسول,N\CN,Al-Said 2023 Table 4
856,مهراج,ِّمهراج | ن,N\CN,Al-Said 2023 Table 4
857,تةراج,ِّتةراج,N\CN,Al-Said 2023 Table 4
858,ضرب,ضرب | ب | ضر,N\CN | V\VP,Al-Said 2023 Table 4
859,واقةم,واقةم | م,N\CN,Al-Said 2023 Table 4
860,يستخدم,َيستخدم | ُيستخَمَد,V\VI,Al-Said 2023 Table 4
861,مةحلص,مةحلص,N\CN,Al-Said 2023 Table 4
862,أسقاو,أسقاو,N\CN,Al-Said 2023 Table 4
863,يدوع,يْدوع,V\VI,Al-Said 2023 Table 4
864,سيةرط,سيةرط,N\CN,Al-Said 2023 Table 4
865,مؤخرا,مؤخرا,N\CN,Al-Said 2023 Table 4
866,ساسأ,ساسأ,N\CN,Al-Said 2023 Table 4
867,ن,َن | ظةر,N\CN,Al-Said 2023 Table 4
868,مجددا,مجَّدًدا,N\CN,Al-Said 2023 Table 4
869,دامة,َّدامة,N\CN,Al-Said 2023 Table 4
870,جنس,جنس,N\CN,Al-Said 2023 Table 4
871,أنسف,أنسُف,N\CN,Al-Said 2023 Table 4
872,تسليج,تسليج,N\CN,Al-Said 2023 Table 4
873,سط,سط | وأ,N\CN,Al-Said 2023 Table 4
874,حقق,حَّقَق,V\VP,Al-Said 2023 Table 4
875,خباط,ِّخباط,N\CN,Al-Said 2023 Table 4
876,نجح,َنجح,V\VP,Al-Said 2023 Table 4
877,تشليك,تشليك,N\CN,Al-Said 2023 Table 4
878,سيةئ,سيةئ,ADJ,Al-Said 2023 Table 4
879,ب,َب | طل,N\CN,Al-Said 2023 Table 4
880,يقف,َيقف,V\VI,Al-Said 2023 Table 4
881,جاوه,جاوه | ُي,V\VI,Al-Said 2023 Table 4
882,قرب,ُقرب | َقر | ب,ADV | V\VP,Al-Said 2023 Table 4
883,احكم,احكم | كاحمَ,N\CN | V\VP,Al-Said 2023 Table 4
884,عقب,عقب | عَّق | ب,ADV | V\VP,Al-Said 2023 Table 4
885,ظن,ظن,N\CN | V\VP,Al-Said 2023 Table 4
886,مر,مر,N\CN | V\VP,Al-Said 2023 Table 4
887,عءاش,عءاش | ءاشِّع,N\CN | ADV,Al-Said 2023 Table 4
888,إعداد,إعداد,N\CN,Al-Said 2023 Table 4
889,فندق,ُفندق,N\CN,Al-Said 2023 Table 4
890,دؤي,دؤي | ُي,V\VI,Al-Said 2023 Table 4
891,ضر,ضر | َيْح | ضْحُر | ي,V\VI,Al-Said 2023 Table 4
892,تحول,تحول | تحوَل,N\CN | V\VP,Al-Said 2023 Table 4
893,سعير,سعير,ADJ,Al-Said 2023 Table 4
894,يشهد,يشهد,V\VI,Al-Said 2023 Table 4
895,سر,سر,N\CN,Al-Said 2023 Table 4
896,ظرفو,ُظرفو,N\CN,Al-Said 2023 Table 4
897,زاف,َزاف,V\VP,Al-Said 2023 Table 4
898,ميت,ميت,ADJ,Al-Said 2023 Table 4
899,أثر,أثر | ثَأر,N\CN | V\VP,Al-Said 2023 Table 4
900,ضوء,ضوء,N\CN,Al-Said 2023 Table 4
901,عملا,ُعملا,N\CN,Al-Said 2023 Table 4
902,قدةر,ُقْدةر,N\CN,Al-Said 2023 Table 4
903,يدير,َيدير,V\VI,Al-Said 2023 Table 4
904,منع,منع | مَنع,N\CN | V\VP,Al-Said 2023 Table 4
905,ريسيئ,ريسيئ,ADJ,Al-Said 2023 Table 4
906,مدلاي,ِّمدلاي,N\CN,Al-Said 2023 Table 4
907,نإام,َّنإام,P\PO,Al-Said 2023 Table 4
908,مباسةق,مَباسةق,N\CN,Al-Said 2023 Table 4
909,دللي,َدللي,N\CN,Al-Said 2023 Table 4
910,سفر,سَفر,N\CN,Al-Said 2023 Table 4
911,حمل,حمل | ِّحمل | حمَل,N\CN | V\VP,Al-Said 2023 Table 4
912,ت,َت | صريو,N\CN,Al-Said 2023 Table 4
913,طينار,طينار,N\CN,Al-Said 2023 Table 4
914,مح,مح | طة,N\CN,Al-Said 2023 Table 4
915,أفدار,أفدار,N\CN,Al-Said 2023 Table 4
916,سءو,ُسءو,N\CN,Al-Said 2023 Table 4
917,حاتمار,ْحاِّتمار,N\CN,Al-Said 2023 Table 4
918,حباس,ِّحباس,N\CN,Al-Said 2023 Table 4
919,ت,َت | طقيب,N\CN,Al-Said 2023 Table 4
920,يستحق,َيستِّحق,V\VI,Al-Said 2023 Table 4
921,بةئي,ِّبةئي,N\CN,Al-Said 2023 Table 4
922,مقر,مَقر,N\CN,Al-Said 2023 Table 4
923,شل,شل | ف | َفَلَ | ش,N\CN | V\VP,Al-Said 2023 Table 4
924,افعل,افعل,V\VR,Al-Said 2023 Table 4
925,كراب,كراب,N\CN,Al-Said 2023 Table 4
926,يتعرف,َيتَعرف,V\VI,Al-Said 2023 Table 4
927,وفقا,وفقا | )ـل(,N\CN,Al-Said 2023 Table 4
928,مانفةس,مانفةس,N\CN,Al-Said 2023 Table 4
929,ىعسي,ىعسي,V\VI,Al-Said 2023 Table 4
930,هركي,هركي,V\VI,Al-Said 2023 Table 4
931,مطاون,مِّطاون,N\CN,Al-Said 2023 Table 4
932,دلاوأ,دلاوأ,N\CN,Al-Said 2023 Table 4
933,طيعيب,طيعيب,ADJ,Al-Said 2023 Table 4
934,خ,خ | طةو,N\CN,Al-Said 2023 Table 4
935,معيراش,معيراش,N\CN,Al-Said 2023 Table 4
936,اشهد,اشهد | دِّهاش,N\CN | V\VP,Al-Said 2023 Table 4
937,صل,صل | أ,V\VR | N\CN,Al-Said 2023 Table 4
938,مسراد,مسراد,N\CN,Al-Said 2023 Table 4
939,ثمن,ثمن,N\CN,Al-Said 2023 Table 4
940,داجيإ,داجيإ,N\CN,Al-Said 2023 Table 4
941,صفةق,صفةق,N\CN,Al-Said 2023 Table 4
942,يطلق,ُيطلق,V\VI,Al-Said 2023 Table 4
943,يقبل,يقبل | ُيقبل | َقُيبل,V\VI,Al-Said 2023 Table 4
944,يجمع,يْجمع,V\VI,Al-Said 2023 Table 4
945,شددي,شددي,ADJ,Al-Said 2023 Table 4
946,أسةلئ,أسةلئ,N\CN,Al-Said 2023 Table 4
947,سن,سن,N\CN | V\VP,Al-Said 2023 Table 4
948,تفريك,تفريك,N\CN,Al-Said 2023 Table 4
949,أسءام,أسءام,N\CN,Al-Said 2023 Table 4
950,مستراش,مستراش,N\CN,Al-Said 2023 Table 4
951,يقدو,يُقدو,V\VI,Al-Said 2023 Table 4
952,يتمكن,َيتمكن,V\VI,Al-Said 2023 Table 4
953,جهدو,جهدو,N\CN,Al-Said 2023 Table 4
954,سبق,سبق | سَقَب,N\CN | V\VP,Al-Said 2023 Table 4
955,ضغط,ضغط | ضَغ | ط,N\CN | V\VP,Al-Said 2023 Table 4
956,ةراشإ,ةراشإ,N\CN,Al-Said 2023 Table 4
957,مباتةع,مَباتةع,N\CN,Al-Said 2023 Table 4
958,باصأ,باصأ,V\VP,Al-Said 2023 Table 4
959,أخت,أخت,N\CN,Al-Said 2023 Table 4
960,حذر,حَذر | حرِّذ,N\CN | ADJ,Al-Said 2023 Table 4
961,خلجي,خلجي,N\CN,Al-Said 2023 Table 4
962,أسةر,أسةر,N\CN,Al-Said 2023 Table 4
963,صحلا,صحلا | إ,N\CN,Al-Said 2023 Table 4
964,راحس,راحس,N\CN,Al-Said 2023 Table 4
965,حانةي,ِّحانةي,ADV,Al-Said 2023 Table 4
966,مرض,مرض | ض | مر,N\CN | V\VP,Al-Said 2023 Table 4
967,صل,َف | صل | صَل | َلَّصَف,N\CN | V\VP,Al-Said 2023 Table 4
968,تغير,تَغُّير | يَغَترَّ,N\CN | V\VP,Al-Said 2023 Table 4
969,مجننو,مْجُننو,ADV,Al-Said 2023 Table 4
970,صر,صر | َن,N\CN | V\VP,Al-Said 2023 Table 4
971,موجدو,موجدو,ADV,Al-Said 2023 Table 4
972,أسأو,أسأو | حلم,N\CN,Al-Said 2023 Table 4
973,حلم,ِّحلم | حلمِّ | َل,N\CN | V\VP,Al-Said 2023 Table 4
974,حم,حم | ةيدنأ,V\VP | N\CN,Al-Said 2023 Table 4
975,جمهرو,جمهرو,N\CN,Al-Said 2023 Table 4
976,صيد,صيد,N\CN,Al-Said 2023 Table 4
977,ةداع,ةداع,N\CN,Al-Said 2023 Table 4
978,دخار,دخار | م | ت,N\CN,Al-Said 2023 Table 4
979,تافق,تاَفَق,V\VP,Al-Said 2023 Table 4
980,مسرح,مسرح,N\CN,Al-Said 2023 Table 4
981,تمكن,تمكن | تمكَن,N\CN | V\VP,Al-Said 2023 Table 4
982,ينبيغ,ينبيغ,V\VI,Al-Said 2023 Table 4
983,لأباع,لأباع,N\CN,Al-Said 2023 Table 4
984,قنيناو,َقنيناو,N\CN,Al-Said 2023 Table 4
985,يديز,َيديز,V\VI,Al-Said 2023 Table 4
986,ةضاير,ةضاير,N\CN,Al-Said 2023 Table 4
987,مبلغ,مبَلغ,N\CN,Al-Said 2023 Table 4
988,كةبات,كةبات,N\CN,Al-Said 2023 Table 4
989,خوف,خوف,N\CN,Al-Said 2023 Table 4
990,شمس,شمس,N\CN,Al-Said 2023 Table 4
991,عد,عد | اس,V\VP,Al-Said 2023 Table 4
992,يقل,يقل,V\VI,Al-Said 2023 Table 4
993,تاذاخ,تاذاخ,N\CN,Al-Said 2023 Table 4
994,حفةل,حفةل,N\CN,Al-Said 2023 Table 4
995,شعرو,ُشُعرو,N\CN,Al-Said 2023 Table 4
996,ضل,ضل | يف | ضَل | فُي,V\VI,Al-Said 2023 Table 4
997,ع,ع | اساطت,V\VP,Al-Said 2023 Table 4
998,طبةعي,طِّبةعي,N\CN,Al-Said 2023 Table 4
999,ماقبةل,ماقبةل,N\CN,Al-Said 2023 Table 4
1000,ابتعد,ابتعَد | ابتعْد | تاملكلا | ةمئاق | لودجلا,V\VP | V\VR,Al-Said 2023 Table 4
