frequency,front,kaikki_meaning,reason
283170,مؤيد,,no_kaikki_semantic_entry
282798,سعودية,feminine singular of سُعُودِيّ (suʕūdiyy),no_calima_kaikki_semantic_agreement
282102,وساطة,,no_kaikki_semantic_entry
280394,إم,,no_kaikki_semantic_entry
279923,بيطري,,no_kaikki_semantic_entry
279666,وقيعة,verbal noun of وَقَعَ (waqaʕa) (form I),no_calima_kaikki_semantic_agreement
279303,نصب,in front of; accusative case; subjunctive mood,no_calima_kaikki_semantic_agreement
279182,إصدارات,,no_kaikki_semantic_entry
279000,خلل,"to caulk; to scour, to toothpick, to poke in; to preserve in vinegar, to marinate",no_calima_kaikki_semantic_agreement
278645,طارئ,,no_kaikki_semantic_entry
277864,دوار,"explorer; seasickness; rotor, rotator",no_calima_kaikki_semantic_agreement
276702,تطبيقي,,no_kaikki_semantic_entry
276189,غضون,,no_kaikki_semantic_entry
274853,ممتع,"interesting; pleasant, delicious, amusing, enjoyable",no_calima_kaikki_semantic_agreement
274093,معك,,no_kaikki_semantic_entry
274039,سهرة,,no_kaikki_semantic_entry
273007,تنظيمي,,no_kaikki_semantic_entry
272832,صليب,"crucified; hard, solid; marrow, grease of bones",no_calima_kaikki_semantic_agreement
271716,مجتمعي,,no_kaikki_semantic_entry
271489,حساس,cunning; living being; endowed with senses,no_calima_kaikki_semantic_agreement
271010,دمج,"to braid; to merge; to become darker, to darken",no_calima_kaikki_semantic_agreement
270653,شاطر,,no_kaikki_semantic_entry
270183,روماني,Roman,no_calima_kaikki_semantic_agreement
269968,تسامح,to be forbearing; to show goodwill; to not be overparticular,no_calima_kaikki_semantic_agreement
269285,فيدرالي,,no_kaikki_semantic_entry
268763,معجنات,,no_kaikki_semantic_entry
268371,غض,"to put down, to belittle; the spadix of a palm-tree; to lower (one's gaze or voice)",no_calima_kaikki_semantic_agreement
267966,تموين,,no_kaikki_semantic_entry
267766,جوف,north; amplitude; hollowness,no_calima_kaikki_semantic_agreement
267111,ماهو,,no_kaikki_semantic_entry
266909,صفا,to be pure of heart; to take the best part of; to remain as a clear gain,no_calima_kaikki_semantic_agreement
266857,رشاقة,,no_kaikki_semantic_entry
266710,قطر,syrup; trailer; diagonal,no_calima_kaikki_semantic_agreement
266292,بار,"to perish; active participle of بَرَّ (barra); to lie fallow, be uncultivated (land)",no_calima_kaikki_semantic_agreement
265767,أمومة,"motherhood; verbal noun of أَمَّ (ʔamma, “to be a mother”) (form I)",no_calima_kaikki_semantic_agreement
265443,بنون,,no_kaikki_semantic_entry
265020,مهاجمة,feminine singular of مُهَاجِم (muhājim); verbal noun of هَاجَمَ (hājama) (form III),no_calima_kaikki_semantic_agreement
264637,حجاب,cover; amulet; curtain,no_calima_kaikki_semantic_agreement
264507,مراعاة,"verbal noun of رَاعَى (rāʕā) (form III); consideration, assistance (for someone's circumstances)",no_calima_kaikki_semantic_agreement
264116,أثري,,no_kaikki_semantic_entry
262958,كناري,,no_kaikki_semantic_entry
262488,عنيزة,,no_kaikki_semantic_entry
261019,وقفة,,no_kaikki_semantic_entry
260946,علاوة,addition; rise (of wage or salary),no_calima_kaikki_semantic_agreement
260589,تبني,,no_kaikki_semantic_entry
260224,دري,Dari; twinkling,no_calima_kaikki_semantic_agreement
259829,تفادي,,no_kaikki_semantic_entry
259757,جاني,,no_kaikki_semantic_entry
259665,صاروخي,,no_kaikki_semantic_entry
258520,ثري,,no_kaikki_semantic_entry
257984,مبتكر,,no_kaikki_semantic_entry
257709,معقول,"wise; considerate; bound, held, restricted",no_calima_kaikki_semantic_agreement
257276,وكس,,no_kaikki_semantic_entry
256751,مشرق,Mashriq; a sunny place; time of sunrise,no_calima_kaikki_semantic_agreement
256709,ألان,,no_kaikki_semantic_entry
256271,مفكر,thinker,no_calima_kaikki_semantic_agreement
256072,حمى,fever; to bathe; to shelter,no_calima_kaikki_semantic_agreement
255843,موالي,,no_kaikki_semantic_entry
255438,مستقر,"quiet; confessing; fixed, immobile",no_calima_kaikki_semantic_agreement
255370,تزامن,"verbal noun of تَزَامَنَ (tazāmana) (form VI); to be simultaneous, to coincide, to happen together, to be synchronous, to synchronize",no_calima_kaikki_semantic_agreement
255355,تطرف,to be extreme; to be radical; verbal noun of تَطَرَّفَ (taṭarrafa) (form V),no_calima_kaikki_semantic_agreement
255311,طريف,"witty person; witty, amusing, agreeable",no_calima_kaikki_semantic_agreement
254877,حجار,"stonecutter, stonemason",no_calima_kaikki_semantic_agreement
253629,كلاسيكي,,no_kaikki_semantic_entry
253216,ظالم,"active participle of ظَلَمَ (ẓalama); unjust; tyrannical, oppressing, iniquitous",no_calima_kaikki_semantic_agreement
252810,إبلاغ,verbal noun of أَبْلَغَ (ʔablaḡa) (form IV),no_calima_kaikki_semantic_agreement
252386,موسع,,no_kaikki_semantic_entry
251768,غرار,,no_kaikki_semantic_entry
250929,حادي,,no_kaikki_semantic_entry
250432,عادل,"upright; to equate; notary, judge",no_calima_kaikki_semantic_agreement
249245,مفترض,,no_kaikki_semantic_entry
249233,ممنوع,hindered; forbidden; prevented,no_calima_kaikki_semantic_agreement
249196,تحريك,"excitement, arousal; moving (the act of moving something); verbal noun of حَرَّكَ (ḥarraka) (form II)",no_calima_kaikki_semantic_agreement
249178,إتاحة,verbal noun of أَتَاحَ (ʔatāḥa) (form IV),no_calima_kaikki_semantic_agreement
249169,إغاثة,,no_kaikki_semantic_entry
248979,ذكريات,,no_kaikki_semantic_entry
248643,معلق,bucket; attached; undecided,no_calima_kaikki_semantic_agreement
248576,إنتاجي,,no_kaikki_semantic_entry
248473,سوفيتي,,no_kaikki_semantic_entry
248370,أذكار,,no_kaikki_semantic_entry
248177,مسقط,projection (drawing); Muscat (the capital city of Oman); verbal noun of سَقَطَ (saqaṭa) (form I),no_calima_kaikki_semantic_agreement
247868,متغير,variable,no_calima_kaikki_semantic_agreement
247069,سيف,coast; shore; riverbank,no_calima_kaikki_semantic_agreement
246513,عرقلة,,no_kaikki_semantic_entry
245651,أحيى,,no_kaikki_semantic_entry
245303,تضحي,,no_kaikki_semantic_entry
245145,خلص,to rid; to reach; to belong,no_calima_kaikki_semantic_agreement
244537,أوقف,"to suppress, to ban; to postpone, to delay; to donate, to bequeath",no_calima_kaikki_semantic_agreement
244467,مضي,verbal noun of مَضَى (maḍā) (form I),no_calima_kaikki_semantic_agreement
244044,تداعي,,no_kaikki_semantic_entry
244031,سكن,"ashes; to feel at home; dwelling, abode, habitation",no_calima_kaikki_semantic_agreement
243388,مقرب,,no_kaikki_semantic_entry
243377,توجب,,no_kaikki_semantic_entry
243224,تعين,"to be defined; to be necessary for, to behoove; to be obligatory for, to be incumbent on",no_calima_kaikki_semantic_agreement
243005,دكتوراة,,no_kaikki_semantic_entry
242860,يو,,no_kaikki_semantic_entry
242675,ناجم,,no_kaikki_semantic_entry
242648,مبروك,,no_kaikki_semantic_entry
242039,تزويد,verbal noun of زَوَّدَ (zawwada) (form II),no_calima_kaikki_semantic_agreement
241685,مئوي,,no_kaikki_semantic_entry
241634,ذمة,"responsibility, liability, blame; peace, custody, guardianship, care",no_calima_kaikki_semantic_agreement
241606,مرخص,,no_kaikki_semantic_entry
241387,بقاع,,no_kaikki_semantic_entry
240608,بانوراما,,no_kaikki_semantic_entry
239783,أولويات,,no_kaikki_semantic_entry
239488,ناسب,"to suit, to fit",no_calima_kaikki_semantic_agreement
239478,كورة,"a type of administrative division, translated as “district” or “province”, notably instituted by the Umayyad Caliphate and hence the Emirate of Córdoba",no_calima_kaikki_semantic_agreement
238715,تبريك,verbal noun of بَرَّكَ (barraka) (form II),no_calima_kaikki_semantic_agreement
238559,كلفة,"expense, outlay, cost",no_calima_kaikki_semantic_agreement
238476,إحالة,"anaphora; referral; alteration, change",no_calima_kaikki_semantic_agreement
238327,زكي,"to thirst; well-thriven, prosperous, well-off, raised perfectly, suffering no blame; to thrive, yield increase, receive increase and blessings, augment, produce fruit",no_calima_kaikki_semantic_agreement
238211,مسمى,,no_kaikki_semantic_entry
238190,مبرمج,,no_kaikki_semantic_entry
237623,معلوماتي,,no_kaikki_semantic_entry
237473,دفاعي,,no_kaikki_semantic_entry
237236,نزع,"to draw wide (bow); to draw up (bucket); to pluck out, to remove",no_calima_kaikki_semantic_agreement
236860,روعة,,no_kaikki_semantic_entry
236653,جم,"many, much, numerous",no_calima_kaikki_semantic_agreement
235835,نفع,"benefit, usefulness; to profit, to benefit; to be conducive to health",no_calima_kaikki_semantic_agreement
235367,مغني,,no_kaikki_semantic_entry
235095,رقية,"Ruqayya bint Husayn; a female given name, Ruqayya",no_calima_kaikki_semantic_agreement
235076,تواجد,to affect passion; verbal noun of تَوَاجَدَ (tawājada) (form VI),no_calima_kaikki_semantic_agreement
235072,قاسي,,no_kaikki_semantic_entry
234753,حازم,"a male given name, Hazim; firm, strict, assertive, stern, decisive",no_calima_kaikki_semantic_agreement
233865,هرب,to elope; desertion; elopement,no_calima_kaikki_semantic_agreement
233770,ضريبي,,no_kaikki_semantic_entry
232615,إصرار,insisting; verbal noun of أَصَرَّ (ʔaṣarra) (form IV),no_calima_kaikki_semantic_agreement
232058,ملتزم,,no_kaikki_semantic_entry
231109,مجرب,"experienced, practiced, skilled",no_calima_kaikki_semantic_agreement
230849,مهمل,careless; neglected; negligent,no_calima_kaikki_semantic_agreement
230622,نشيط,"pleased, cheerful, happy, willing; brisk, lively, active, agile, prompt, quick, energetic",no_calima_kaikki_semantic_agreement
230481,مشار,,no_kaikki_semantic_entry
230072,قابض,clutch; depressing; constriction,no_calima_kaikki_semantic_agreement
229825,بوح,verbal noun of بَاحَ (bāḥa) (form I),no_calima_kaikki_semantic_agreement
229707,إناث,,no_kaikki_semantic_entry
229142,سكاني,,no_kaikki_semantic_entry
228815,أدلى,,no_kaikki_semantic_entry
228234,وضعي,,no_kaikki_semantic_entry
228181,روائي,,no_kaikki_semantic_entry
228019,تصريف,"change, alteration; sale, retail, disposal; drawing off (water), drainage",no_calima_kaikki_semantic_agreement
227890,عون,help; Aoun: a surname,no_calima_kaikki_semantic_agreement
227837,سويتش,,no_kaikki_semantic_entry
227764,إحداث,"verbal noun of أَحْدَثَ (ʔaḥdaṯa) (form IV); producing a new thing, creation, invention, origination, causation",no_calima_kaikki_semantic_agreement
226501,وحي,revelation; verbal noun of وَحَى (waḥā) (form I),no_calima_kaikki_semantic_agreement
226348,ملائم,"active participle of لَاءَمَ (lāʔama): fit, proper, convenient",no_calima_kaikki_semantic_agreement
225595,مشابه,,no_kaikki_semantic_entry
225408,إهمال,negligence; verbal noun of أَهْمَلَ (ʔahmala) (form IV),no_calima_kaikki_semantic_agreement
224985,ناشط,,no_kaikki_semantic_entry
224866,غنائي,,no_kaikki_semantic_entry
224758,ثائر,rebel,no_calima_kaikki_semantic_agreement
224625,مطرب,,no_kaikki_semantic_entry
224105,كسارة,,no_kaikki_semantic_entry
223584,حبس,"to tie up; to imprison; prison, jail",no_calima_kaikki_semantic_agreement
223217,محجب,,no_kaikki_semantic_entry
223179,تهدئة,,no_kaikki_semantic_entry
223003,حادي,,no_kaikki_semantic_entry
222837,ألب,,no_kaikki_semantic_entry
222734,فخامة,,no_kaikki_semantic_entry
222650,كبر,"old age; drum, timbrel; great calamities",no_calima_kaikki_semantic_agreement
222051,ضم,girding; to gird; to compress the lips,no_calima_kaikki_semantic_agreement
221939,تزايد,,no_kaikki_semantic_entry
221911,تقوية,verbal noun of قَوَّى (qawwā) (form II),no_calima_kaikki_semantic_agreement
221389,كرم,"to exalt; generosity; nobleness, kindness",no_calima_kaikki_semantic_agreement
220798,جدر,wall; tumor of the throat; to make (someone) worthy,no_calima_kaikki_semantic_agreement
220575,تغريد,singing (of birds); verbal noun of غَرَّدَ (ḡarrada) (form II),no_calima_kaikki_semantic_agreement
220504,كير,,no_kaikki_semantic_entry
220468,متتالي,,no_kaikki_semantic_entry
219953,توريد,verbal noun of وَرَّدَ (warrada) (form II),no_calima_kaikki_semantic_agreement
219748,هرير,,no_kaikki_semantic_entry
219326,حافل,"eventful; rich in, full of",no_calima_kaikki_semantic_agreement
219223,لقطة,,no_kaikki_semantic_entry
218870,هجري,,no_kaikki_semantic_entry
218390,نقض,"to peel off; to veto, to repeal; to break, to demolish",no_calima_kaikki_semantic_agreement
216960,إمكانات,,no_kaikki_semantic_entry
216841,منشور,sawn; prism; manifesto,no_calima_kaikki_semantic_agreement
216642,تعداد,"census; quantity, amount, number",no_calima_kaikki_semantic_agreement
216625,رافض,,no_kaikki_semantic_entry
216381,كراهية,"reprehensibility, baseness; incompatibility (in marriage); verbal noun of كَرُهَ (karuha) (form I)",no_calima_kaikki_semantic_agreement
215898,زجاجي,,no_kaikki_semantic_entry
215469,ناسف,,no_kaikki_semantic_entry
214833,تحصيل,"extracting, educing; collecting (money or revenue); reducing a proposition to a categoric form",no_calima_kaikki_semantic_agreement
214442,أبعد,bad; perishing; more remote; most remote,no_calima_kaikki_semantic_agreement
214436,هروب,verbal noun of هَرَبَ (haraba) (form I),no_calima_kaikki_semantic_agreement
214209,تهيئة,,no_kaikki_semantic_entry
213989,فقهي,,no_kaikki_semantic_entry
213870,منطلق,"perspective, standpoint, basis; springboard (anything that launches or provides impulse)",no_calima_kaikki_semantic_agreement
213222,نافذ,,no_kaikki_semantic_entry
212200,نغا,,no_kaikki_semantic_entry
211850,منهجي,,no_kaikki_semantic_entry
211635,بروفسور,,no_kaikki_semantic_entry
211623,بحثي,,no_kaikki_semantic_entry
211442,عدل,equal; ransom; reward,no_calima_kaikki_semantic_agreement
211282,تحري,,no_kaikki_semantic_entry
211124,تورط,to become embroiled in; verbal noun of تَوَرَّطَ (tawarraṭa) (form V),no_calima_kaikki_semantic_agreement
210822,رحل,camel; to die; saddlebags,no_calima_kaikki_semantic_agreement
210766,محقق,"detective; certain, sure; executed, fulfilled",no_calima_kaikki_semantic_agreement
210747,عطل,lack; to free; to empty,no_calima_kaikki_semantic_agreement
210714,نفق,"to sell; to be brisk (of a market); to be used up, to run out",no_calima_kaikki_semantic_agreement
210670,تعدد,"to be numerous; to multiply, to increase in frequency",no_calima_kaikki_semantic_agreement
210657,عابر,"passerby; active participle of عَبَرَ (ʕabara); clipping of عَابِر جِنْسِيًّا (ʕābir jinsiyyan, “transsexual”)",no_calima_kaikki_semantic_agreement
210330,كوبي,,no_kaikki_semantic_entry
209972,عباية,,no_kaikki_semantic_entry
209953,شافعي,Shafiite,no_calima_kaikki_semantic_agreement
209906,ميس,"nettle tree, hackberry (Celtis gen. et spp., especially Celtis australis, but locally also Celtis caucasica)",no_calima_kaikki_semantic_agreement
208385,تسريب,verbal noun of سَرَّبَ (sarraba) (form II),no_calima_kaikki_semantic_agreement
207985,عمراني,,no_kaikki_semantic_entry
207678,لاتيني,,no_kaikki_semantic_entry
207642,معرفي,,no_kaikki_semantic_entry
207380,غامض,mysterious,no_calima_kaikki_semantic_agreement
206537,ولاء,verbal noun of وَالَى (wālā) (form III); verbal noun of وَلِيَ (waliya) (form I),no_calima_kaikki_semantic_agreement
206189,تحفيظ,verbal noun of حَفَّظَ (ḥaffaẓa) (form II),no_calima_kaikki_semantic_agreement
205550,مخلف,,no_kaikki_semantic_entry
205321,تعقيد,verbal noun of عَقَّدَ (ʕaqqada) (form II),no_calima_kaikki_semantic_agreement
205205,نسب,"parentage; noble descent; descent, birth",no_calima_kaikki_semantic_agreement
204894,إيه,,no_kaikki_semantic_entry
204842,أنى,how; when?; From where?,no_calima_kaikki_semantic_agreement
204691,قاطع,to boycott; to interrupt; secant (symbol: قا),no_calima_kaikki_semantic_agreement
204668,رباعي,quartet; quatrain; tetragonal,no_calima_kaikki_semantic_agreement
203978,نش,"to ooze, to sputter",no_calima_kaikki_semantic_agreement
203404,تنقل,transmission; reorganization; change of residence,no_calima_kaikki_semantic_agreement
203299,خلط,to mix; to confuse; humour in humourism,no_calima_kaikki_semantic_agreement
203196,باكي,,no_kaikki_semantic_entry
202847,نجا,"skin, hide; to survive; palanquin wood",no_calima_kaikki_semantic_agreement
202833,حنيف,"inclining; belonging to the right religion, of true belief; someone connected to a wrong religion, impious, deviatory",no_calima_kaikki_semantic_agreement
202716,تظاهر,"manifestation; pretending, faking, feigning; to manifest (to be revealed)",no_calima_kaikki_semantic_agreement
202650,قافل,,no_kaikki_semantic_entry
202624,عابد,active participle of عَبَدَ (ʕabada),no_calima_kaikki_semantic_agreement
202522,مفروشات,furniture,no_calima_kaikki_semantic_agreement
202486,متضرر,,no_kaikki_semantic_entry
202299,جماهيري,,no_kaikki_semantic_entry
202197,مقررات,,no_kaikki_semantic_entry
201946,تحضيري,,no_kaikki_semantic_entry
201550,غسال,,no_kaikki_semantic_entry
201256,شد,"to press; to tense (muscles); to fasten, tie, bind",no_calima_kaikki_semantic_agreement
200737,ند,"equivalent, peer, coequal, counterpart, rival",no_calima_kaikki_semantic_agreement
200358,ناقلة,,no_kaikki_semantic_entry
200072,فرز,,no_kaikki_semantic_entry
199920,أمبير,,no_kaikki_semantic_entry
199846,ضاع,"to perish; to be lost; to get lost, to stray",no_calima_kaikki_semantic_agreement
199844,فاصل,"insulator; ident, bumper; insulating, isolating",no_calima_kaikki_semantic_agreement
199777,جاه,,no_kaikki_semantic_entry
199616,سمة,visa; stigma; distinction,no_calima_kaikki_semantic_agreement
199279,مدفوع,,no_kaikki_semantic_entry
199077,رامي,"a male given name, Ramy",no_calima_kaikki_semantic_agreement
198818,معاوية,a male given name,no_calima_kaikki_semantic_agreement
198650,إدانة,,no_kaikki_semantic_entry
198613,أرجاء,,no_kaikki_semantic_entry
198302,نبطي,,no_kaikki_semantic_entry
198250,أوج,apse; apogee; zenith,no_calima_kaikki_semantic_agreement
198018,ساخر,"buffoon; mocking, sarcastic; one who mocks or scoffs",no_calima_kaikki_semantic_agreement
197783,مشتبه,,no_kaikki_semantic_entry
197783,إصبع,lollipop; popsicle; piano key,no_calima_kaikki_semantic_agreement
196769,تقليص,,no_kaikki_semantic_entry
196569,تجميد,verbal noun of جَمَّدَ (jammada) (form II),no_calima_kaikki_semantic_agreement
196299,شلل,,no_kaikki_semantic_entry
196248,مجلد,volume,no_calima_kaikki_semantic_agreement
195852,مدرج,"staff; runway, airstrip; amphitheater, lecture hall",no_calima_kaikki_semantic_agreement
195788,نيجيري,,no_kaikki_semantic_entry
195743,رواج,verbal noun of رَاجَ (rāja) (form I); going round about the watering-trough but not reaching it (said of a camel),no_calima_kaikki_semantic_agreement
195708,إبقاء,,no_kaikki_semantic_entry
195705,مستهدف,,no_kaikki_semantic_entry
194718,تمرد,"to rebel, to revolt; to be arrogant, to be insolent; to be uncooperative, to be disobedient",no_calima_kaikki_semantic_agreement
194658,فاعلية,"the state of being a فَاعِل (fāʕil, “subject, agent”)",no_calima_kaikki_semantic_agreement
194606,تأهل,to qualify; to get married; to marry; verbal noun of تَأَهَّلَ (taʔahhala) (form V),no_calima_kaikki_semantic_agreement
193966,صدري,,no_kaikki_semantic_entry
193857,فاتح,"light (in color); victor, conqueror; semidark (in color)",no_calima_kaikki_semantic_agreement
193671,حوى,"to occupy; to contain; to preserve, guard",no_calima_kaikki_semantic_agreement
192712,أرضي,"Earthling; earthly, terrestrial",no_calima_kaikki_semantic_agreement
192710,مفعول,"object; done, made",no_calima_kaikki_semantic_agreement
192678,بورندي,,no_kaikki_semantic_entry
192539,كتابي,,no_kaikki_semantic_entry
192047,نقر,"literally; verbal noun of نَقَرَ (naqara) (form I); so as investigating, to dig into, to tap",no_calima_kaikki_semantic_agreement
191206,لاق,"to care for; to fit well; to cling to, keep by",no_calima_kaikki_semantic_agreement
191185,أجر,"to rent, to hire; to serve for hire; gift, morning gift",no_calima_kaikki_semantic_agreement
190930,زين,beauty; to grace; to shave,no_calima_kaikki_semantic_agreement
190752,عولمة,,no_kaikki_semantic_entry
190105,عيان,tired; verbal noun of عَايَنَ (ʕāyana),no_calima_kaikki_semantic_agreement
189773,مختصر,brief; concise; abbreviated,no_calima_kaikki_semantic_agreement
189390,عرق,"erg; blood vessel; stock, descent",no_calima_kaikki_semantic_agreement
189296,صبي,the pupil of an eye; a boy-servant; a slave-boy; a protrusion; a projection,no_calima_kaikki_semantic_agreement
188542,خطف,theft; rapaciousness; snatching away,no_calima_kaikki_semantic_agreement
188450,تخرج,to graduate (from),no_calima_kaikki_semantic_agreement
187802,توحد,autism; isolation; loneliness,no_calima_kaikki_semantic_agreement
187769,أممي,of or related to the United Nations,no_calima_kaikki_semantic_agreement
187673,ألحق,to connect (something بِ to); to enclose (something بِ in); to inflict (something بِ upon),no_calima_kaikki_semantic_agreement
187623,جذري,,no_kaikki_semantic_entry
187533,تسديد,,no_kaikki_semantic_entry
186983,شرع,to lift up; to publish; to make clear,no_calima_kaikki_semantic_agreement
186796,منظور,"desired; seen, sighted; passive participle of نَظَرَ (naẓara)",no_calima_kaikki_semantic_agreement
186617,مواكب,,no_kaikki_semantic_entry
186551,محمل,,no_kaikki_semantic_entry
186298,راقي,,no_kaikki_semantic_entry
186293,أمسي,,no_kaikki_semantic_entry
185752,خدمي,,no_kaikki_semantic_entry
185689,حضري,,no_kaikki_semantic_entry
185429,نجل,to kick; posterity; to mistreat,no_calima_kaikki_semantic_agreement
184778,مجمل,,no_kaikki_semantic_entry
184516,إظهار,pretending; explanation; publication,no_calima_kaikki_semantic_agreement
184362,بادر,"to hurry up; to rush, to hurry; to accost, to assail",no_calima_kaikki_semantic_agreement
184326,هداف,,no_kaikki_semantic_entry
184275,تحفة,"masterpiece, curiosity, rarity",no_calima_kaikki_semantic_agreement
183531,تشكل,,no_kaikki_semantic_entry
183403,شقيقة,migraine; feminine singular of شَقِيق (šaqīq); female equivalent of شَقِيق (šaqīq): full sister,no_calima_kaikki_semantic_agreement
183056,بور,"stagnant, waste-; fallow, uncultivated; Bor (a city in South Sudan)",no_calima_kaikki_semantic_agreement
182965,ثمين,valuable,no_calima_kaikki_semantic_agreement
181795,خلاص,"receipt; redemption; rescue, salvation",no_calima_kaikki_semantic_agreement
181719,تشغيلي,,no_kaikki_semantic_entry
181700,تدوين,verbal noun of دَوَّنَ (dawwana) (form II),no_calima_kaikki_semantic_agreement
180530,نرويجي,,no_kaikki_semantic_entry
180130,سلوكي,,no_kaikki_semantic_entry
180023,ممر,"canal; lapse of time; exit, departure",no_calima_kaikki_semantic_agreement
179930,راق,"to glisten, to glint; to be pure, to be clean; to be eminent, to exceed",no_calima_kaikki_semantic_agreement
179890,رخيص,"low (price); stupid, dull; quick (death)",no_calima_kaikki_semantic_agreement
179513,مستندات,,no_kaikki_semantic_entry
178370,فرج,vulva; to dispel; happy ending,no_calima_kaikki_semantic_agreement
177943,كردستاني,,no_kaikki_semantic_entry
177734,باشر,to carry out (a task); to touch (be in contact); to exercise (a profession),no_calima_kaikki_semantic_agreement
177568,إد,"outrageous, heinous",no_calima_kaikki_semantic_agreement
177540,شتوي,"wintry, hibernal",no_calima_kaikki_semantic_agreement
177399,جمالي,,no_kaikki_semantic_entry
175768,حراسة,verbal noun of حَرَسَ (ḥarasa) (form I),no_calima_kaikki_semantic_agreement
175592,عز,"to be powerful, to overpower; verbal noun of عَزَّ (ʕazza) (form I); to be dear, to be precious, to be rare",no_calima_kaikki_semantic_agreement
175505,ترسيخ,,no_kaikki_semantic_entry
175400,فخم,"great, big; spoken with emphasis; to intensify, magnify",no_calima_kaikki_semantic_agreement
174944,أنيق,"loved; pleasing; pretty, beautiful",no_calima_kaikki_semantic_agreement
174695,سويداء,"seepweed (Suaeda gen. et spp.); only used in السُوَيْدَاء (as-suwaydāʔ, “As-Suwayda; As-Suwayda Governorate”)",no_calima_kaikki_semantic_agreement
174667,واقعة,"fact; news; combat, battle",no_calima_kaikki_semantic_agreement
174586,موقوف,"caught, arrested; dedicated to a waqf; passive participle of وَقَفَ (waqafa)",no_calima_kaikki_semantic_agreement
174539,أسقط,"to elide; to leave out; to subtract, deduct",no_calima_kaikki_semantic_agreement
174530,عنا,,no_kaikki_semantic_entry
174506,درك,"gendarmerie; reaching of a goal; depth, (literal) rock-bottom",no_calima_kaikki_semantic_agreement
174356,عتامة,,no_kaikki_semantic_entry
174259,تعاطي,,no_kaikki_semantic_entry
174168,تذكاري,,no_kaikki_semantic_entry
