rank,level,target,english,attribution
367,B,Comment pourrais-tu penser ça ?,How could you think that?,CC-BY 2.0 (France) Attribution: tatoeba.org #3096841 (CK) & #6287729 (Aiji)
368,B,Comment suis-je parvenu ici ?,How did I get here?,CC-BY 2.0 (France) Attribution: tatoeba.org #3393263 (CK) & #4232948 (sacredceltic)
369,B,Comment est-il venu ici ?,How did he come here?,CC-BY 2.0 (France) Attribution: tatoeba.org #38345 (CK) & #4706304 (sacredceltic)
370,B,Comment avons-nous fait cela ?,How did we do that?,CC-BY 2.0 (France) Attribution: tatoeba.org #3731691 (CM) & #3902111 (sacredceltic)
371,B,Comment as-tu fait cela ?,How did you do that?,CC-BY 2.0 (France) Attribution: tatoeba.org #759358 (vgigregg) & #761150 (pandark)
372,B,Comment l'avez-vous fait ?,How did you do it?,CC-BY 2.0 (France) Attribution: tatoeba.org #1801685 (Spamster) & #1159181 (sacredceltic) Editorially corrected after complete row-by-row linguistic audit.
373,B,Comment m'as-tu trouvée ?,How did you find me?,CC-BY 2.0 (France) Attribution: tatoeba.org #1386703 (enteka) & #4591960 (sacredceltic)
374,B,Comment êtes-vous arrivé ici ?,How did you get here?,CC-BY 2.0 (France) Attribution: tatoeba.org #1885927 (CK) & #1541168 (sacredceltic)
375,B,Comment s'est déroulé ton discours ?,How did your speech go?,CC-BY 2.0 (France) Attribution: tatoeba.org #51830 (CK) & #1317197 (sacredceltic)
376,B,Comment je mange ça ?,How do I eat this?,CC-BY 2.0 (France) Attribution: tatoeba.org #3154856 (CK) & #7785905 (Aiji)
377,B,Comment puis-je vous remercier ?,How can I thank you?,CC-BY 2.0 (France) Attribution: tatoeba.org #3731948 (CM) & #3829093 (sacredceltic) Editorially corrected after complete row-by-row linguistic audit.
378,B,Comment on y va ?,How do we get there?,CC-BY 2.0 (France) Attribution: tatoeba.org #4887801 (CK) & #11662479 (Aiji)
379,B,Comment le savons-nous ?,How do we know that?,CC-BY 2.0 (France) Attribution: tatoeba.org #3731709 (CM) & #3885214 (sacredceltic)
380,B,D'où me connais-tu ?,Where do you know me from?,CC-BY 2.0 (France) Attribution: tatoeba.org #7729071 (soliloquist) & #1336778 (sacredceltic) Editorially corrected after complete row-by-row linguistic audit.
381,B,Comment tu sais ça ?,How do you know this?,CC-BY 2.0 (France) Attribution: tatoeba.org #1641807 (Amastan) & #1437019 (martin9)
382,B,Comment peux-tu ne pas comprendre ?,How can you not understand?,CC-BY 2.0 (France) Attribution: tatoeba.org #5741689 (CM) & #5743759 (Petrus) Editorially corrected after complete row-by-row linguistic audit.
383,B,Comment dis-tu cela ?,How do you say that?,CC-BY 2.0 (France) Attribution: tatoeba.org #759355 (vgigregg) & #761153 (pandark)
384,B,Comment les veux-tu ?,How do you want them?,CC-BY 2.0 (France) Attribution: tatoeba.org #37547 (CM) & #12915 (mouche)
385,B,De combien de temps disposons-nous ?,How long do we have?,CC-BY 2.0 (France) Attribution: tatoeba.org #1885897 (CK) & #2025107 (sacredceltic)
386,B,Tu ne fais que travailler.,All you do is work.,CC-BY 2.0 (France) Attribution: tatoeba.org #5807005 (Hybrid) & #11460897 (lbdx)
387,B,Appelle si tu as besoin de moi !,Call if you need me.,CC-BY 2.0 (France) Attribution: tatoeba.org #3415387 (CK) & #4833449 (sacredceltic)
388,B,Appelle-moi quand tu peux.,Call me when you can.,CC-BY 2.0 (France) Attribution: tatoeba.org #3422120 (CK) & #5750479 (Aiji)
389,B,Viens ici et aide-moi.,Come here and help me.,CC-BY 2.0 (France) Attribution: tatoeba.org #61596 (CK) & #11227 (sacredceltic)
390,B,Fais comme je te dis.,Do as I tell you.,CC-BY 2.0 (France) Attribution: tatoeba.org #246734 (CK) & #8068 (sacredceltic)
391,B,"Aidez-moi, si vous le pouvez !",Help me if you can.,CC-BY 2.0 (France) Attribution: tatoeba.org #3825926 (CK) & #4833462 (sacredceltic)
392,B,Je sais ce que vous ressentez.,I know how you feel.,CC-BY 2.0 (France) Attribution: tatoeba.org #1933627 (CK) & #1933725 (sacredceltic) Editorially corrected after complete row-by-row linguistic audit.
393,B,Je supposais que tu viendrais.,I assumed you would come.,CC-BY 2.0 (France) Attribution: tatoeba.org #2796670 (Deerhound) & #484909 (sacredceltic)
394,B,Je peux te donner un coup de main.,I can help you out.,CC-BY 2.0 (France) Attribution: tatoeba.org #2187749 (Hybrid) & #2190020 (sacredceltic)
395,B,Je peux quand même t'aider.,I can still help you.,CC-BY 2.0 (France) Attribution: tatoeba.org #2301350 (CK) & #10190999 (felix63)
396,B,Je peux comprendre votre colère.,I can understand your anger.,CC-BY 2.0 (France) Attribution: tatoeba.org #2301406 (CK) & #8760670 (Aiji)
397,B,Je peux comprendre ta langue.,I can understand your language.,CC-BY 2.0 (France) Attribution: tatoeba.org #29040 (CM) & #127431 (TRANG)
398,B,Je peux comprendre votre réticence.,I can understand your reluctance.,CC-BY 2.0 (France) Attribution: tatoeba.org #2301408 (CK) & #12435948 (lbdx)
399,B,Je peux t'attendre.,I can wait for you.,CC-BY 2.0 (France) Attribution: tatoeba.org #64310 (CK) & #1638701 (belgavox)
400,B,Je ne peux pas attendre plus longtemps.,I can wait no longer.,CC-BY 2.0 (France) Attribution: tatoeba.org #321697 (CK) & #13567 (sacredceltic)
401,B,Je ne peux pas t'aider aujourd'hui.,I can't help you today.,CC-BY 2.0 (France) Attribution: tatoeba.org #5220163 (CK) & #5816596 (Aiji)
402,B,Je ne peux pas te dire pourquoi.,I can't tell you why.,CC-BY 2.0 (France) Attribution: tatoeba.org #5851537 (CK) & #6820029 (Rockaround)
403,B,Je pourrais t'accompagner.,I could go with you.,CC-BY 2.0 (France) Attribution: tatoeba.org #2308097 (CK) & #9984586 (Julien_PDC)
404,B,Je pourrais vous faire arrêter.,I could have you arrested.,CC-BY 2.0 (France) Attribution: tatoeba.org #3422675 (bandeirante) & #3422685 (sacredceltic)
405,B,Je ne pourrais te dire pourquoi.,I couldn't tell you why.,CC-BY 2.0 (France) Attribution: tatoeba.org #3729811 (CM) & #4164767 (sacredceltic)
406,B,J'ai bien fait mon travail.,I did my work well.,CC-BY 2.0 (France) Attribution: tatoeba.org #2239896 (AlanF_US) & #8418522 (Aiji)
407,B,J'ai fait ce que je pouvais.,I did what I could.,CC-BY 2.0 (France) Attribution: tatoeba.org #660429 (CK) & #572749 (sacredceltic)
408,B,J'ai fait ce que tu as demandé.,I did what you asked.,CC-BY 2.0 (France) Attribution: tatoeba.org #2314872 (CK) & #4227789 (sacredceltic)
409,B,J'ai fait ce que vous vouliez.,I did what you wanted.,CC-BY 2.0 (France) Attribution: tatoeba.org #12183546 (Miktsoanit) & #12183486 (Rovo)
410,B,Je n'avais pas besoin de ton aide.,I didn't need your help.,CC-BY 2.0 (France) Attribution: tatoeba.org #1887199 (CK) & #2043571 (sacredceltic)
411,B,J'espère vraiment que vous comprenez.,I do hope you understand.,CC-BY 2.0 (France) Attribution: tatoeba.org #2315130 (CK) & #2399061 (sacredceltic)
412,B,Je fais bien mon travail.,I do my work well.,CC-BY 2.0 (France) Attribution: tatoeba.org #2239897 (AlanF_US) & #8475192 (Aiji)
413,B,J'ai vraiment besoin de votre aide.,I do need your help.,CC-BY 2.0 (France) Attribution: tatoeba.org #3590845 (CK) & #2045475 (sacredceltic)
414,B,Je pense vraiment que je comprends.,I do think I understand.,CC-BY 2.0 (France) Attribution: tatoeba.org #2315143 (CK) & #2420633 (sacredceltic)
415,B,Je fais ce qui est requis.,I do what is required.,CC-BY 2.0 (France) Attribution: tatoeba.org #2315149 (CK) & #2420647 (sacredceltic)
416,B,Je n'ai pas le temps aujourd'hui.,I don't have time today.,CC-BY 2.0 (France) Attribution: tatoeba.org #9677528 (Taam) & #11166411 (lbdx)
417,B,Mon travail ne me plaît pas.,I don't like my work.,CC-BY 2.0 (France) Attribution: tatoeba.org #5118195 (crbk92) & #3214049 (Micsmithel)
418,B,Je n'ai pas besoin de toi ici.,I don't need you here.,CC-BY 2.0 (France) Attribution: tatoeba.org #2547408 (CK) & #11169595 (Rovo)
419,B,Je n'ai pas besoin de ton aide.,I don't need your help.,CC-BY 2.0 (France) Attribution: tatoeba.org #17057 (CK) & #14981 (sacredceltic)
420,B,Je ne pense pas que vous compreniez.,I don't think you understand.,CC-BY 2.0 (France) Attribution: tatoeba.org #1887272 (CK) & #2137647 (sacredceltic)
421,B,Je ne veux pas de toi ici.,I don't want you here.,CC-BY 2.0 (France) Attribution: tatoeba.org #2011653 (CK) & #11169588 (Rovo)
422,B,J'ai l'impression d'être prêt.,I feel like I'm ready.,CC-BY 2.0 (France) Attribution: tatoeba.org #3374708 (CK) & #3637505 (sacredceltic) Editorially corrected after complete row-by-row linguistic audit.
423,B,J'ai envie de boire un coup.,I feel like a drink.,CC-BY 2.0 (France) Attribution: tatoeba.org #27370 (CK) & #3637208 (sacredceltic)
424,B,J'ai envie de te voir.,I feel like seeing you.,CC-BY 2.0 (France) Attribution: tatoeba.org #2995926 (CM) & #3637354 (sacredceltic)
425,B,Je me sens désolé pour toi.,I feel sorry for you.,CC-BY 2.0 (France) Attribution: tatoeba.org #2326017 (CK) & #2370010 (sacredceltic)
426,B,Je suis venu aider.,I have come to help.,CC-BY 2.0 (France) Attribution: tatoeba.org #11545375 (CK) & #11561668 (Aiji)
427,B,J'ai terminé mon travail.,I have finished my work.,CC-BY 2.0 (France) Attribution: tatoeba.org #1350129 (Chrikaru) & #5561936 (sacredceltic)
428,B,Je viens juste d'arriver ici.,I have just come here.,CC-BY 2.0 (France) Attribution: tatoeba.org #241611 (CK) & #7304 (sacredceltic)
429,B,"Je n'ai pas d'énergie, aujourd'hui.",I have no energy today.,CC-BY 2.0 (France) Attribution: tatoeba.org #321823 (CK) & #1129050 (sacredceltic)
430,B,Je n'ai pas de devoirs aujourd'hui.,I have no homework today.,CC-BY 2.0 (France) Attribution: tatoeba.org #242878 (CK) & #1052132 (sacredceltic)
431,B,Je ne sais absolument pas pourquoi.,I have no idea why.,CC-BY 2.0 (France) Attribution: tatoeba.org #2360144 (CK) & #7839992 (sacredceltic) Editorially corrected after complete row-by-row linguistic audit.
432,B,Je n'ai pas le temps demain.,I have no time tomorrow.,CC-BY 2.0 (France) Attribution: tatoeba.org #1556183 (CK) & #1071062 (sacredceltic)
433,B,J'ai quelque chose que tu veux.,I have something you want.,CC-BY 2.0 (France) Attribution: tatoeba.org #2064698 (CK) & #2443394 (sacredceltic)
434,B,Je dois me rendre chez moi.,I have to go home.,CC-BY 2.0 (France) Attribution: tatoeba.org #256788 (CK) & #1269501 (sacredceltic)
435,B,Il faut que j'aille bosser.,I have to go work.,CC-BY 2.0 (France) Attribution: tatoeba.org #10069812 (DJ_Saidez) & #13377792 (lbdx)
436,B,Je dois savoir pourquoi.,I have to know why.,CC-BY 2.0 (France) Attribution: tatoeba.org #2360541 (CK) & #5402460 (Aiji)
437,B,Je dois dire non.,I have to say no.,CC-BY 2.0 (France) Attribution: tatoeba.org #2360565 (CK) & #4959180 (franlexcois)
438,B,"Je dois travailler, demain.",I have to work tomorrow.,CC-BY 2.0 (France) Attribution: tatoeba.org #2185169 (Hybrid) & #2185820 (sacredceltic)
439,B,J'ai ce dont j'ai besoin.,I have what I need.,CC-BY 2.0 (France) Attribution: tatoeba.org #2360678 (CK) & #7772314 (Rockaround)
440,B,C'est toi que je dois remercier.,I have you to thank.,CC-BY 2.0 (France) Attribution: tatoeba.org #3734208 (CK) & #11624574 (Aiji) Editorially corrected after complete row-by-row linguistic audit.
441,B,Je savais que tu comprendrais.,I knew you would understand.,CC-BY 2.0 (France) Attribution: tatoeba.org #2375774 (CK) & #12167325 (lbdx)
442,B,Je peux bien comprendre ce que tu ressens.,I can understand how you feel.,CC-BY 2.0 (France) Attribution: tatoeba.org #20318 (CK) & #10858 (Apex) Editorially corrected after complete row-by-row linguistic audit.
443,B,Je sais qu'il y en a d'autres.,I know there are others.,CC-BY 2.0 (France) Attribution: tatoeba.org #4977837 (CK) & #7045062 (Aiji)
444,B,Je sais ce que j'aime.,I know what I like.,CC-BY 2.0 (France) Attribution: tatoeba.org #4977844 (CK) & #5599789 (Aiji)
445,B,Je sais ce que je vais faire.,I know what I'll do.,CC-BY 2.0 (France) Attribution: tatoeba.org #814425 (Zaphod) & #1007471 (NomadSoul)
446,B,Je sais ce qu'il s'est passé ici.,I know what happened here.,CC-BY 2.0 (France) Attribution: tatoeba.org #2376264 (CK) & #5803680 (Aiji)
447,B,Je sais ce qu'est l'amour.,I know what love is.,CC-BY 2.0 (France) Attribution: tatoeba.org #2376303 (CK) & #7696127 (Maxence)
448,B,Je sais ce que c'est que cela.,I know what that is.,CC-BY 2.0 (France) Attribution: tatoeba.org #253053 (CK) & #784692 (U2FS)
449,B,Je sais ce qu'ils veulent.,I know what they want.,CC-BY 2.0 (France) Attribution: tatoeba.org #8837487 (CK) & #11908935 (lbdx)
450,B,Je sais quoi faire.,I know what to do.,CC-BY 2.0 (France) Attribution: tatoeba.org #256407 (CK) & #6740 (TRANG)
451,B,Je sais ce que tu sais.,I know what you know.,CC-BY 2.0 (France) Attribution: tatoeba.org #2376384 (CK) & #4244539 (mouche)
452,B,Je sais ce que tu veux.,I know what you want.,CC-BY 2.0 (France) Attribution: tatoeba.org #1864518 (Spamster) & #7547163 (tras)
453,B,Je sais où il est.,I know where he is.,CC-BY 2.0 (France) Attribution: tatoeba.org #1880399 (CM) & #8334201 (theachaean)
454,B,Je sais où c'est.,I know where it is.,CC-BY 2.0 (France) Attribution: tatoeba.org #1880398 (CM) & #5164068 (Salemminou)
455,B,Je sais où elle est.,I know where she is.,CC-BY 2.0 (France) Attribution: tatoeba.org #308095 (CK) & #605414 (qdii)
456,B,Je sais où ils sont.,I know where they are.,CC-BY 2.0 (France) Attribution: tatoeba.org #2376446 (CK) & #5801894 (Toynop)
457,B,Je sais où on est.,I know where we are.,CC-BY 2.0 (France) Attribution: tatoeba.org #2376470 (CK) & #8334217 (theachaean)
458,B,Je sais où tu es.,I know where you are.,CC-BY 2.0 (France) Attribution: tatoeba.org #2376474 (CK) & #6636349 (lapinhibou)
459,B,Je sais où tu habites.,I know where you live.,CC-BY 2.0 (France) Attribution: tatoeba.org #252673 (CK) & #7467 (Bruno)
460,B,Je sais où tu travailles.,I know where you work.,CC-BY 2.0 (France) Attribution: tatoeba.org #5939017 (CK) & #11714472 (Aiji)
461,B,Je sais qui a fait ça.,I know who did that.,CC-BY 2.0 (France) Attribution: tatoeba.org #6274049 (CK) & #8406954 (Aiji)
462,B,Je sais qui c'est.,I know who that is.,CC-BY 2.0 (France) Attribution: tatoeba.org #2376493 (CK) & #6965845 (Yemana)
463,B,Je sais que tu n'es pas prêt.,I know you aren't ready.,CC-BY 2.0 (France) Attribution: tatoeba.org #7240462 (CK) & #7982998 (Aiji)
464,B,Je sais que tu ne peux pas attendre.,I know you can't wait.,CC-BY 2.0 (France) Attribution: tatoeba.org #3818769 (CK) & #8395898 (Aiji)
465,B,Je sais que tu te sens seul.,I know you feel lonely.,CC-BY 2.0 (France) Attribution: tatoeba.org #2376546 (CK) & #5347931 (Aiji)
466,B,Je sais que tu te sens triste.,I know you feel sad.,CC-BY 2.0 (France) Attribution: tatoeba.org #2376548 (CK) & #3169103 (Sibelius)
467,B,Je sais que tu détestes l'école.,I know you hate school.,CC-BY 2.0 (France) Attribution: tatoeba.org #2376555 (CK) & #8372079 (Aiji)
468,B,Je sais que tu l'as.,I know you have it.,CC-BY 2.0 (France) Attribution: tatoeba.org #2376563 (CK) & #7242723 (tras)
469,B,Je sais que tu aimes le café.,I know you like coffee.,CC-BY 2.0 (France) Attribution: tatoeba.org #2376577 (CK) & #2382748 (Rovo)
470,B,Je sais que tu m'apprécies.,I know you like me.,CC-BY 2.0 (France) Attribution: tatoeba.org #2376578 (CK) & #2382751 (Rovo)
471,B,Je sais que tu aimes le sport.,I know you like sports.,CC-BY 2.0 (France) Attribution: tatoeba.org #2376579 (CK) & #2382753 (Rovo)
472,B,Je sais que tu vis ici.,I know you live here.,CC-BY 2.0 (France) Attribution: tatoeba.org #7240419 (CK) & #9800663 (rat)
473,B,Je sais que tu m'aimes.,I know you love me.,CC-BY 2.0 (France) Attribution: tatoeba.org #2376581 (CK) & #2382762 (Rovo)
474,B,Je sais que tu parles français.,I know you speak French.,CC-BY 2.0 (France) Attribution: tatoeba.org #2376600 (CK) & #2382802 (Rovo)
475,B,J'aime votre façon de penser.,I like how you think.,CC-BY 2.0 (France) Attribution: tatoeba.org #5466735 (CK) & #8031086 (Aiji)
476,B,J'ai besoin d'un peu d'aide ici.,I need some help here.,CC-BY 2.0 (France) Attribution: tatoeba.org #2387520 (CK) & #5579305 (Aiji)
477,B,J'ai besoin d'y aller.,I need to go there.,CC-BY 2.0 (France) Attribution: tatoeba.org #3258184 (CK) & #3258183 (nimfeo)
478,B,J'aurai besoin de toi ici demain.,I will need you here tomorrow.,CC-BY 2.0 (France) Attribution: tatoeba.org #5639885 (CK) & #10700146 (Rovo) Editorially corrected after complete row-by-row linguistic audit.
479,B,Je ne t'aime plus.,I don't love you anymore.,CC-BY 2.0 (France) Attribution: tatoeba.org #1081166 (keira_n) & #3251 (zmoo) Editorially corrected after complete row-by-row linguistic audit.
480,B,Je ne travaille plus ici.,I no longer work here.,CC-BY 2.0 (France) Attribution: tatoeba.org #2389366 (CK) & #2389371 (gillux)
481,B,J'ai vraiment besoin de ton aide.,I really need your help.,CC-BY 2.0 (France) Attribution: tatoeba.org #1887629 (CK) & #7433 (RaspaKrusto)
482,B,Je vois que tu es prête.,I see you are ready.,CC-BY 2.0 (France) Attribution: tatoeba.org #2406261 (CK) & #5741769 (Aiji)
483,B,Je pense que je sais pourquoi.,I think I know why.,CC-BY 2.0 (France) Attribution: tatoeba.org #2915208 (Hybrid) & #8170527 (Aiji)
484,B,Je pense que je vous connais.,I think I know you.,CC-BY 2.0 (France) Attribution: tatoeba.org #3818106 (CK) & #7529566 (tras)
485,B,Je crois que je t'aime bien.,I think I like you.,CC-BY 2.0 (France) Attribution: tatoeba.org #1887705 (CK) & #8825103 (Rockaround)
486,B,Je pense que tout le monde est prêt.,I think everybody is ready.,CC-BY 2.0 (France) Attribution: tatoeba.org #4987285 (CK) & #8556827 (marioo)
487,B,Je pense que ça aiderait.,I think that would help.,CC-BY 2.0 (France) Attribution: tatoeba.org #4666654 (CK) & #8976907 (Aiji)
488,B,Je pense qu'ils me connaissent.,I think they know me.,CC-BY 2.0 (France) Attribution: tatoeba.org #2408192 (CK) & #2465155 (arnxy20)
489,B,Je pense qu'ils vous connaissent.,I think they know you.,CC-BY 2.0 (France) Attribution: tatoeba.org #2408194 (CK) & #2465153 (arnxy20)
490,B,Je crois qu'ils m'aiment.,I think they like me.,CC-BY 2.0 (France) Attribution: tatoeba.org #2408195 (CK) & #2465152 (arnxy20)
491,B,Je crois qu'ils vous aiment.,I think they like you.,CC-BY 2.0 (France) Attribution: tatoeba.org #2408197 (CK) & #2465150 (arnxy20)
492,B,Je pense que l'avenir nous le dira.,I think time will tell.,CC-BY 2.0 (France) Attribution: tatoeba.org #4980129 (CK) & #11228004 (lbdx)
493,B,Je pense que nous pouvons gérer.,I think we can manage.,CC-BY 2.0 (France) Attribution: tatoeba.org #3722341 (CM) & #5366540 (Aiji)
494,B,Je pense qu'on en a besoin.,I think we need it.,CC-BY 2.0 (France) Attribution: tatoeba.org #6105950 (CK) & #11844924 (flowingwords) Editorially corrected after complete row-by-row linguistic audit.
495,A,Je crois que vous avez tort.,I think you're wrong.,CC-BY 2.0 (France) Attribution: tatoeba.org #2294054 (CK) & #6743303 (Aiji) Editorially corrected after complete row-by-row linguistic audit.
496,B,Je crois que vous m'avez bien entendu.,I think you heard me correctly.,CC-BY 2.0 (France) Attribution: tatoeba.org #2408590 (CK) & #2464997 (arnxy20) Editorially corrected after complete row-by-row linguistic audit.
497,B,Je comprends ce que tu ressens.,I understand how you feel.,CC-BY 2.0 (France) Attribution: tatoeba.org #20315 (CK) & #334568 (sysko)
498,B,Je veux rentrer chez moi.,I want to go home.,CC-BY 2.0 (France) Attribution: tatoeba.org #1887888 (CK) & #6055180 (verdakoro) Editorially corrected after complete row-by-row linguistic audit.
499,B,Je veux te faire plaisir.,I want to please you.,CC-BY 2.0 (France) Attribution: tatoeba.org #3728958 (CM) & #5377417 (Aiji)
500,B,Je veux que tu viennes.,I want you to come.,CC-BY 2.0 (France) Attribution: tatoeba.org #2011431 (CK) & #9554572 (Julien_PDC)
501,B,Je veux que vous aidiez.,I want you to help.,CC-BY 2.0 (France) Attribution: tatoeba.org #2011432 (CK) & #7769661 (Aiji)
502,B,Je ferai ce que tu veux.,I'll do what you want.,CC-BY 2.0 (France) Attribution: tatoeba.org #2547286 (CK) & #4962257 (franlexcois)
503,B,On peut peut-être vous aider.,Maybe we can help you.,CC-BY 2.0 (France) Attribution: tatoeba.org #3915439 (CK) & #12002926 (lbdx)
504,B,Ma maison est ta maison.,My home is your home.,CC-BY 2.0 (France) Attribution: tatoeba.org #1134064 (copecopecope) & #487951 (mamat)
505,B,"Ça ne fait rien, je peux attendre.","No problem, I can wait.",CC-BY 2.0 (France) Attribution: tatoeba.org #7156557 (Kiwi) & #2303394 (sysko)
506,B,"Venez m'aider, s'il vous plaît.",Please come and help me.,CC-BY 2.0 (France) Attribution: tatoeba.org #413761 (Scott) & #2142029 (Dreamk33)
507,B,Venez me voir demain s'il vous plaît.,Please come see me tomorrow.,CC-BY 2.0 (France) Attribution: tatoeba.org #453650 (CM) & #453256 (mamat) Editorially corrected after complete row-by-row linguistic audit.
508,B,"S'il vous plaît, laissez-moi rentrer chez moi !",Please let me go home.,CC-BY 2.0 (France) Attribution: tatoeba.org #1433780 (CK) & #1434601 (martin9) Editorially corrected after complete row-by-row linguistic audit.
509,B,Veuillez rester où vous êtes.,Please stay where you are.,CC-BY 2.0 (France) Attribution: tatoeba.org #3185049 (CK) & #6545453 (Aiji)
510,B,Pourriez-vous m'indiquer votre localisation ?,Could you tell me your location?,CC-BY 2.0 (France) Attribution: tatoeba.org #268476 (CK) & #647454 (qdii) Editorially corrected after complete row-by-row linguistic audit.
511,B,"S’il vous plaît, pouvez-vous me donner votre nom ?","Can you give me your name, please?",CC-BY 2.0 (France) Attribution: tatoeba.org #250101 (CK) & #135330 (zmoo) Editorially corrected after complete row-by-row linguistic audit.
512,B,Donnez-moi votre opinion s'il vous plaît.,Please give me your opinion.,CC-BY 2.0 (France) Attribution: tatoeba.org #697834 (papabear) & #1594073 (BigMouse) Editorially corrected after complete row-by-row linguistic audit.
513,B,"Désolé, je ne peux pas t'aider.","Sorry, I can't help you.",CC-BY 2.0 (France) Attribution: tatoeba.org #3818182 (CK) & #5732670 (Yemana)
514,B,Dis-moi tout ce que tu sais.,Tell me everything you know.,CC-BY 2.0 (France) Attribution: tatoeba.org #5780385 (mailohilohi) & #5781460 (Yemana)
515,B,Dis-moi quoi faire.,Tell me what to do.,CC-BY 2.0 (France) Attribution: tatoeba.org #24758 (CK) & #428688 (LowMemory)
516,B,Dis-moi ce que tu as acheté.,Tell me what you bought.,CC-BY 2.0 (France) Attribution: tatoeba.org #6824104 (CK) & #1085843 (Julien_PDC)
517,B,Dis-moi ce qui te plaît.,Tell me what you like.,CC-BY 2.0 (France) Attribution: tatoeba.org #12984624 (menaud) & #1085844 (Julien_PDC)
518,B,Dis-moi quand le dîner est prêt.,Tell me when dinner's ready.,CC-BY 2.0 (France) Attribution: tatoeba.org #6688088 (CK) & #7794855 (Aiji)
519,B,Dis-moi qui a fait ça.,Tell me who did this.,CC-BY 2.0 (France) Attribution: tatoeba.org #3199888 (CK) & #6930082 (Aiji)
520,B,Dis-leur qui on est.,Tell them who we are.,CC-BY 2.0 (France) Attribution: tatoeba.org #3199882 (CK) & #7124974 (Aiji)
521,B,Dis-leur qui tu es.,Tell them who you are.,CC-BY 2.0 (France) Attribution: tatoeba.org #2879533 (CK) & #6843661 (Aiji)
522,B,Merci de votre assistance.,Thank you for your help.,CC-BY 2.0 (France) Attribution: tatoeba.org #462516 (lukaszpp) & #14395 (Julien_PDC)
523,B,Merci de m'avoir accordé un peu de votre temps.,Thank you for your time.,CC-BY 2.0 (France) Attribution: tatoeba.org #954312 (CK) & #1272325 (GeeZ) Editorially corrected after complete row-by-row linguistic audit.
524,B,C'est pour ça que je t'aime.,That's why I love you.,CC-BY 2.0 (France) Attribution: tatoeba.org #3519313 (CK) & #4546100 (Whidou) Editorially corrected after complete row-by-row linguistic audit.
525,B,Réfléchis à ce que tu veux.,Think about what you want.,CC-BY 2.0 (France) Attribution: tatoeba.org #3818738 (CK) & #6835519 (GB3)
526,B,C'est comme ça que nous fonctionnons.,This is how we work.,CC-BY 2.0 (France) Attribution: tatoeba.org #3724480 (CM) & #13338834 (genes1s)
527,B,Nous pourrions le faire aujourd'hui.,We could do it today.,CC-BY 2.0 (France) Attribution: tatoeba.org #2953588 (CK) & #7793903 (Aiji)
528,B,Nous pourrions y aller maintenant.,We could go there now.,CC-BY 2.0 (France) Attribution: tatoeba.org #2953596 (CK) & #5326543 (Aiji)
529,B,Nous pourrions utiliser ton aide.,We could use your help.,CC-BY 2.0 (France) Attribution: tatoeba.org #2986863 (CK) & #7096924 (pititnatole)
530,B,On a fait ce qu'on a pu.,We did what we could.,CC-BY 2.0 (France) Attribution: tatoeba.org #4666965 (CK) & #11965733 (calypsow)
531,B,On fait ce qu'on peut.,We do what we can.,CC-BY 2.0 (France) Attribution: tatoeba.org #3734726 (CK) & #7925638 (felix63)
532,B,On fait ce qu'on veut.,We do what we want.,CC-BY 2.0 (France) Attribution: tatoeba.org #2953608 (CK) & #11578859 (Aiji)
533,B,On n'a pas besoin de toi ici.,We don't need you here.,CC-BY 2.0 (France) Attribution: tatoeba.org #9636106 (CK) & #10971446 (lbdx)
534,B,Nous n'avons rien à faire ici.,We have nothing to do here.,CC-BY 2.0 (France) Attribution: tatoeba.org #8336368 (CK) & #11735431 (Aiji) Editorially corrected after complete row-by-row linguistic audit.
535,B,On n'a pas cours aujourd'hui.,We have no classes today.,CC-BY 2.0 (France) Attribution: tatoeba.org #8933688 (CK) & #10494417 (lbdx)
536,B,Nous n'avons pas cours aujourd'hui.,We have no school today.,CC-BY 2.0 (France) Attribution: tatoeba.org #247944 (CK) & #431350 (qdii)
537,B,Nous avons du travail à faire.,We have work to do.,CC-BY 2.0 (France) Attribution: tatoeba.org #1893803 (CK) & #5803678 (Aiji)
538,B,Nous savons quoi faire.,We know what to do.,CC-BY 2.0 (France) Attribution: tatoeba.org #2548504 (CK) & #6965862 (Yemana)
539,B,Nous savons où il est.,We know where it is.,CC-BY 2.0 (France) Attribution: tatoeba.org #2548035 (CK) & #5100959 (kamillel)
540,B,Nous savons où tu étais.,We know where you were.,CC-BY 2.0 (France) Attribution: tatoeba.org #2546293 (CK) & #5927029 (Aiji)
541,B,Nous savons qui a fait cela.,We know who did that.,CC-BY 2.0 (France) Attribution: tatoeba.org #3312733 (CK) & #13373108 (lbdx) Editorially corrected after complete row-by-row linguistic audit.
542,B,Nous savons qui ils sont.,We know who they are.,CC-BY 2.0 (France) Attribution: tatoeba.org #1828806 (Amastan) & #6926758 (Aiji)
543,B,Nous avons besoin d'hommes comme vous.,We need men like you.,CC-BY 2.0 (France) Attribution: tatoeba.org #9150733 (CK) & #9151643 (Julien_PDC)
544,B,Nous avons besoin d'aide ici.,We need some help here.,CC-BY 2.0 (France) Attribution: tatoeba.org #3313028 (CK) & #5403489 (Aiji)
545,B,Nous avons besoin de comprendre pourquoi.,We need to understand why.,CC-BY 2.0 (France) Attribution: tatoeba.org #5464254 (CK) & #6884488 (Rockaround)
