rank,target,english,pos,ipa_candidate,learner_hint_candidate,source_sha256
341,شدید,severe; intense; strong; extreme,adjective,ʃədˈiːd,shohohhdayayd,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
342,کالج,college,noun,kˈaːlɪɟ,kalayaygy,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
343,تقسیم,division; distribution,noun,tˌəqsˈiːm,tohohhqsayaym,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
344,سرحد,border; frontier; boundary,noun,sˈarhad,sarhad,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
345,گروپ,group,noun,ɡrˈuːp,grohohp,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
346,پیر,foot; Monday; spiritual guide/saint; elder,noun / title,pˈeːr,payr,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
347,واضح,"evident, manifest, elaborate, clear, apparent",adj,ʋˈaːzɛh,ʋazayh,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
348,زر,gold; money; wealth,noun,zˈʌr,zʌr,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
349,مسلمانوں,Muslims (oblique plural),noun,mʊsˈalmˌaːnõː,mohohsalmanõ,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
350,محبت,"love; affection; dedication, attachment",noun,mʊhˈabːat,mohohhabat,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
351,یاد,memory; recollection; reminiscence,noun,jˈaːd,yad,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
352,کتاب,"book, manuscript, volume",noun,kɪtˈaːb,kayaytab,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
353,باغ,"garden; land, area; orchard; grove",noun,bˈaːɣ,bagh,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
354,سزا,penalty; punishment; retribution,noun,sˈʌzaː,sʌza,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
355,امن,"peace, tranquility",noun,ˈamn,amn,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
356,موت,death; demise; mortality,noun,mˈoːt,moht,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
357,سمیت,including; together with; along with,postposition / particle,samˈeːt,samayt,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
358,موجودہ,"at present; existing, present, current",adj,moːɟˈuːda,mohgyohohda,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
359,قتل,murder; killing; massacre,noun,qˈatl,qatl,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
360,فی,per; each; for each,postposition / distributive particle,fˈiː,fayay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
361,آگے,ahead; forward; hereafter,adv,ˈaːɡeː,agay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
362,رنگ,colour,noun,rˈʌnɡ,rʌng,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
363,سخت,"strict, severe, hard, tough, harsh",adj,sˈʌxt,sʌkht,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
364,زبان,tongue; language; word (i.e. a promise),noun,zəbˈaːn,zohohhban,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
365,نیا,new,adj,nˈajaː,naya,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
366,کارکردگی,performance; functioning; output; efficiency,noun,kaːrkˈardəɡˌiː,karkardohohhgayay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
367,محسوس,"felt, sensed, perceived",adj,mˌɛhsˈuːs,mayhsohohs,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
368,ہمیشہ,always; forever; ever,adverb,hamˈeːʃa,hamaysha,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
369,سیاست,policy; politics; jurisdiction,noun,sjaːsˈat,syasat,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
370,دہشت,"awe; alarm, panic; terror, fear",noun,dˈɛhʃˈat,dayhshat,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
371,فن,"art, craft, skill; trick, deception, artifice",noun,fˈʌn,fʌn,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
372,میاں,"person; husband; mister, sir",noun,mjˈãː,myã,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
373,آمدنی,income; earnings; revenue,noun,ˈaːmədni,amohohhdnayay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
374,شادی,"wedding, marriage",noun,ʃˈaːdi,shadayay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
375,ضرور,certainly; definitely; surely; necessarily/must (context-dependent),adverb,zarˈuːr,zarohohr,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
376,انتہائی,extreme; utmost; extremely,adjective / adverb,ˌɪntɪhˈaːi,ayayntayayhaayay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
377,پہلا,first,adj,pˈɛhlaː,payhla,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
378,کپتان,captain; skipper,noun,kˌəptˈaːn,kohohhptan,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
379,عدالت,justice; court; courtroom,noun,adˈaːlət,adalohohht,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
380,اچھا,good; nice; fine; well; okay; alright,adjective / adverb / interjection,ˈacʰaː,acʰa,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
381,راہ,"route; path, way; manner, mode, fashion",noun,rˈaːh,rah,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
382,مسلمان,Muslim,noun,mʊsˈalmˌaːn,mohohsalman,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
383,ملاقات,"rendezvous; meeting, visit; encounter (an unexpected visit etc.)",noun,mˌʊlaːqˈaːt,mohohlaqat,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
384,جانا,"to go, to leave",verb,ɟˈaːnaː,gyana,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
385,عزیز,"dear, loved; a loved one, dear one; a male given name, Aziz",adj / name / noun,azˈiːz,azayayz,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
386,سفر,"travel, trip, journey, voyage",noun,safˈar,safar,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
387,نو,new; nine,adj / numeral,nˈoː,noh,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
388,اول,"first; foremost, primary",adj / noun,ˈaʋʋal,aʋʋal,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
389,اہمیت,importance,noun,ˌɛhɛmiˈat,ayhaymayayat,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
390,پسند,liking; preference; choice; liked/pleasing (in compounds/context-dependent),noun / adjective element,pəsˈʌnd,pohohhsʌnd,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
391,جنوبی,southern,adj,ɟʊnˈuːbi,gyohohnohohbayay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
392,جسم,body,noun,ɟˈɪsm,gyayaysm,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
393,کون,who?,interrogative pronoun,kˈoːn,kohn,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
394,سلسلہ,"series; way; method; chain, shackle",noun,sˈɪlsˌɪla,sayaylsayayla,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
395,یوں,thus; like this; in this way; so,adverb,jˈũː,yũ,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
396,فوری,"immediate, urgent, prompt, rapid, instantaneous, instant",adj,fˈoːri,fohrayay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
397,اکثر,"often, frequently; usually, for the most part",adv,ˌaksˈar,aksar,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
398,ہدایت,"guidance; instruction; direction; Hidayat (personal name, context-dependent)",noun / name,hɪdˈaːjat,hayaydayat,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
399,زلزلہ,"earthquake, seism",noun,zˌalzˈala,zalzala,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
400,بینک,bank,noun,bˈeːnk,baynk,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
401,ساحل,"coast; shore; Sahil (given name, context-dependent)",noun / name,sˈaːhɪl,sahayayl,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
402,چیز,thing (ie. object; item),noun,cˈiːz,cayayz,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
403,پورا,"complete; fulfilled; whole, entire",adj,pˈuːraː,pohohra,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
404,امیدوار,"hopeful; expectant; candidate, contestant (in an election or examination etc.)",adj / noun,ʊmˈiːdʋaːr,ohohmayaydʋar,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
405,بس,"bus; enough; that's enough; only/just; stop!; dwell/settle (verb stem, context-dependent)",noun / adverb / interjection / verb stem,bˈʌs,bʌs,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
406,طاقت,strength; power; ability,noun,tˈaːqət,taqohohht,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
407,ذمہ,responsibility; obligation; charge,noun,zˈɪma,zayayma,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
408,فائدہ,benefit; advantage; usefulness; profit; gain,noun,fˈaɪda,faayayda,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
409,ہاں,yes,particle / interjection,hˈãː,hã,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
410,آبادی,population; settlement,noun,aːbˈaːdi,abadayay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
411,کارروائی,"measure; management; procedure, conduct, action, process, proceeding, investigation",noun,kˈaːrraʋˌaːi,karraʋaayay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
412,آواز,"voice; report, fame; sound, noise",noun,aːʋˈaːz,aʋaz,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
413,حقوق,rights,noun,hʊqˈuːq,hohohqohohq,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
414,دنوں,days (oblique plural),noun,dɪnˈoːn,dayaynohn,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
415,جدید,"modern, recent",adj,ɟədˈiːd,gyohohhdayayd,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
416,ارب,billion,numeral,ˈarəb,arohohhb,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
417,ذرائع,sources; means; resources,noun,ðarˈaːeː,dharaay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
418,عرب,Arab,adj / noun,ˈarəb,arohohhb,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
419,جاوید,"eternal, undying, everlasting, perpetual; a male given name, Javed, Jawed, or Jaweed, from Persian",adj / name,ɟaːʋˈeːd,gyaʋayd,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
420,خدا,God; god; Lord; deity,noun,xˈʊdaː,khohohda,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
421,حملے,"attacks; attack (oblique/vocative singular, context-dependent)",noun,hˈʌmlˌeː,hʌmlay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
422,اقوام,nations; peoples,noun,ˈaqʋaːm,aqʋam,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
423,دورہ,visit; tour; round; attack/fit (medical/context-dependent),noun,dˈoːrˌa,dohra,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
424,بالکل,"absolutely (quite, wholly, at all, clearly)",adv,bˈɪlkˌʊl,bayaylkohohl,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
425,جسے,whom; which; to whom; to which,relative pronoun,ɟˌɪseː,gyayaysay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
426,دینا,"to let; to deliver; to give, to grant",verb,dˈeːnaː,dayna,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
427,محنت,"hardship; toil, labour; hard work, effort",noun,mɛhnˈat,mayhnat,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
428,مرکزی,central,adj,mˈarkazˌi,markazayay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
429,بنیاد,"principle; foundation, basis",noun,bˌʊniˈaːd,bohohnayayad,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
430,والدین,parents,noun,ʋˌaːlɪdˈeːn,ʋalayaydayn,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
431,اجازت,"leave; consent; permission, authorisation, clearance",noun,ɪɟˈaːzat,ayaygyazat,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
432,واقع,located; situated; occurring; actual (context-dependent),adjective / participle,ʋˈaːqeː,ʋaqay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
433,شام,"evening; Syria / the Levant (proper name, context-dependent)",noun / proper noun,ʃˈaːm,sham,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
434,جیت,"victory, win",noun,ɟˈiːt,gyayayt,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
435,گفتگو,conversation; discussion; dialogue,noun,ɡˈʊftˌʊɡuː,gohohftohohgohoh,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
436,تیل,oil,noun,tˈeːl,tayl,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
437,از,"from, by",prep,ˈaz,az,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
438,مقدار,"amount, quantity",noun,mɪqdˈaːr,mayayqdar,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
439,ملکوں,countries (oblique plural),noun,mˌʊlkˈoːn,mohohlkohn,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
440,عالم,world; realm; scholar; learned person (depending on vocalization/context),noun,ˈaːləm,alohohhm,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
441,عورت,woman; wife (context-dependent),noun,aˈoːrət,aohrohohht,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
442,آئندہ,"the future; coming, future",adj / adv / noun,aːˈɪndˌa,aayaynda,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
443,دوسرا,second; other; another,adjective / pronoun,dˈuːsraː,dohohsra,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
444,طریقہ,"method; tariqa; manner, way",noun,tərˈiːqˌa,tohohhrayayqa,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
445,باقی,"extra; remainder, rest; outstanding balance",adj / noun,bˈaːqi,baqayay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
446,قدر,"value, worth; fate, destiny",noun,qˈadr,qadr,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
447,صبح,dawn; morning,adv / noun,ʂˌəbˈah,ʂohohhbah,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
448,فٹ,"foot/feet (unit of measure); fit; fitted (loanword, context-dependent)",noun / adjective,fˈɪʈ,fayayt,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
449,ہمارا,our; ours (masculine singular form),possessive determiner / pronoun,həmˈaːraː,hohohhmara,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
450,صحیح,"right, correct, accurate",adj,ʂəhˈiːh,ʂohohhhayayh,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
451,الزام,"allegation; blame, accusation",noun,ˌɪlzˈaːm,ayaylzam,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
452,حالت,"state, condition",noun,hˈaːlət,halohohht,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
453,دیکھنے,to see; to watch; to look at; seeing/watching (oblique infinitive form),verb form,dˈeːkʰnˌeː,daykʰnay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
454,آر,the letter R (especially in acronyms),letter name / noun,ˈaːr,ar,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
455,فون,"phone, telephone; phone call, telephone call",noun,fˈoːn,fohn,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
456,بجلی,lightning; electricity,noun,bˈɪɟlˌiː,bayaygylayay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
457,مذاکرات,negotiations; talks,noun,mˌʊzaːkɪrˈaːt,mohohzakayayrat,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
458,مثلا,"for example, for instance, e.g.; namely",adv,mˈʌslˌaː,mʌsla,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
459,خط,letter; correspondence; line; handwriting/script,noun,xˈʌt,khʌt,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
460,خاندان,"family; household; dynasty, lineage",noun,xˈaːndaːn,khandan,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
461,اچھے,good (masculine plural/oblique),adj,ˈacʰeː,acʰay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
462,خارجہ,"foreign affairs; foreign, external, outer",adj / noun,xˈaːrəɟa,kharohohhgya,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
463,منتخب,elected,adj,mˌʊntˈaxəb,mohohntakhohohhb,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
464,لگے,"seemed; began; were attached (form of لگنا, context-dependent)",verb,lˈʌɡeː,lʌgay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
465,کنٹرول,"control; check, inspection (physically, by an officer)",noun,kˈanʈroːl,kantrohl,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
466,رسول,"Apostle; Prophet Muhammad; Messenger, prophet",noun,rasˈuːl,rasohohl,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
467,مظاہرہ,rally; demonstration,noun,mʊʐˈaːhɪrˌa,mohohʐahayayra,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
468,حکم,"verdict, judgement; order, command, decree; judicial order, ordinance, statute",noun,hˈʊkm,hohohkm,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
469,اتنا,so much; this much; as much as,adj / adv,ˈɪtnaː,ayaytna,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
470,داخل,"inside; admitted, enrolled; intruding, penetrating",adj,dˈaːxɪl,dakhayayl,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
471,پتہ,"address; knowledge, clue",noun,pˈʌta,pʌta,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
472,خون,blood; killing; relationship,noun,xˈuːn,khohohn,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
473,شاعر,poet,noun,ʃaːˈaːɪr,shaaayayr,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
474,نوجوان,young; youthful; young person; youth,adjective / noun,nˌɔːɟaʋˈaːn,nohgyaʋan,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
475,ماں,mother,noun,mˈãː,mã,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
476,مستقبل,future,adj / noun,mˌʊstˈaqbˌɪl,mohohstaqbayayl,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
477,سن,"age; year/date; listen! (informal imperative of سننا, context-dependent)",noun / imperative verb form,sˈʊn,sohohn,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
478,خدمات,services,noun,xɪdmˈaːt,khayaydmat,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
479,ون,"one (English loan, especially in compounds); forest/wood (literary)",numeral loan / noun,ʋˈʌn,ʋʌn,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
480,بیماری,"illness, disease",noun,bimˈaːri,bayaymarayay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
481,کیسے,how,adv,kˈeːseː,kaysay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
482,شاید,"maybe, perhaps",adv,ʃˈaːjad,shayad,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
483,رہنما,"guide; leader; conductor, pilot",noun,rˈɛhnəmˌaː,rayhnohohhma,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
484,سائنس,science,noun,sˈaɪns,saayayns,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
485,تبدیل,change; alteration; conversion; changed/converted (context-dependent),noun / adjective-participle,tˌəbdˈiːl,tohohhbdayayl,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
486,تحصیل,acquisition; attainment; tahsil/subdistrict,noun,tɛhʂˈiːl,tayhʂayayl,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
487,دوبارہ,again; anew; once more; a second time,adverb,doːbˈaːrˌa,dohbara,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
488,ہفتے,"weeks; week (oblique/vocative singular, context-dependent)",noun,hˈʌftˌeː,hʌftay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
489,قیادت,leadership; command; guidance,noun,qˈajaːdˌət,qayadohohht,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
490,حقیقت,reality; truth; fact,noun,həqˈiːqət,hohohhqayayqohohht,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
491,اثر,effect; influence; impact; impression,noun,ˈasər,asohohhr,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
492,چین,"peace; rest; comfort; relief; China; chain (loanword, context-dependent)",noun / proper noun,cˈeːn,cayn,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
493,ماہرین,experts; specialists,noun,mˈaːhrin,mahrayayn,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
494,غلط,false; wrong; mistaken,adj,ɣˈʌlət,ghʌlohohht,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
495,فیصل,"a male given name, Faisal, from Arabic",name,fˈeːʂəl,fayʂohohhl,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
496,تازہ,"new, breaking; novel, original; fresh, just made",adj,tˈaːzˌa,taza,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
497,غریب,poor; helpless; poor (of wealth),adj,ɣərˈiːb,ghohohhrayayb,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
498,سامنا,front; encounter; confrontation,noun,sˈaːmnˌaː,samna,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
499,دھماکہ,"explosion, boom",noun,dʰəmˈaːkˌa,dʰohohhmaka,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
500,بم,bomb,noun,bˈʌm,bʌm,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
501,درست,"correct, accurate; faultless, without defect; appropriate, fitting, proper",adj,dˈʊrʊst,dohohrohohst,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
502,آخر,end; at last; after all,adv / noun,ˈaːxɪr,akhayayr,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
503,داری,possession; holding; practice/state; -holding/-keeping (especially in compounds),noun / suffix,dˈaːri,darayay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
504,برابر,equal; level; abreast,adj / adv,bˌaraːbˈar,barabar,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
505,ذکر,mention; remembrance; reference; discussion,noun,zˈɪkr,zayaykr,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
506,خدمت,service; assistance; employment,noun,xɪdmˈat,khayaydmat,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
507,جائزہ,review; assessment; survey; inspection; examination,noun,ɟˈaɪzˌa,gyaayayza,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
508,نائب,"naib, viceroy, deputy",noun,nˈaɪb,naayayb,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
509,کن,"which; whom (plural/oblique interrogative, context-dependent)",interrogative pronoun / determiner,kˈɪn,kayayn,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
510,اصل,origin; root; basis; original; real; genuine,noun / adjective,ˈaʂl,aʂl,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
511,صاف,clean; clear; pure; plain,adjective / adverb,ʂˈaːf,ʂaf,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
512,طے,"decided, predetermined",adj,tˈeː,tay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
